unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
814,erato,erato amalfreda Heliconius,,,,desconocido,Berbice River Upper GUY DB,,,m,,,,,KB 1979,,NEIL ROSSER,,4.75,-58.25,Brown 1979
1233,erato,erato amalfreda Heliconius,,,,desconocido,"Reserva Campina, Caracayai BRA AM",,,m,,,,,KB 1979,,NEIL ROSSER,,-2.500005556,-60,http://cprek.morphbank.net/Show/?pop=Yes&id=167764
1449,erato,erato amalfreda Heliconius,,,,descononcido,Manaus - Boa Vista km 153 BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-1.827711111,-60.13267222,Google Earth
1450,erato,erato amalfreda Heliconius,,,,descononcido,Manaus - Boa Vista km 130 BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-1.995922222,-60.02660833,Google Earth
1482,erato,erato amalfreda Heliconius,,,,descononcido,Maroni river 60 mi up FRG LM,,,m,,,,,KB 1979,,NEIL ROSSER,,4.807911111,-54.46801389,Google Earth
6478,erato,erato amalfreda Heliconius,,,,macho,Kutari River upper GUY EB,,,m,15,12,1935,"Hudson, G.A.",BMNH,,NEIL ROSSER,,2.75,-57.75,Brown 1979
6479,erato,erato amalfreda Heliconius,,,,macho,"Confluence of Orinoque and New River, GUY",,,m,,,1937,"Hudson, G.A.",BMNH,20/8 - 20/9,NEIL ROSSER,,2.741011111,-57.439675,Google Earth
6524,erato,erato amalfreda Heliconius,ST,"cybelellus Heliconius erato (Heliconius, J.J. Joicey & W.J. Kaye 1917)",,macho,Serpa BRA AM,,,m,,,1914,"Hall, A.",BMNH,01-Mar,NEIL ROSSER,,-3.166666667,-58.26666667,Brown
6525,erato,erato amalfreda Heliconius,,,,macho,Obidos BRA PA,,,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,-1.9,-55.51666667,Brown
6528,erato,erato amalfreda Heliconius,,,f. leda,macho,Berg - en - Dal SUR BR,,,m,,,,,BMNH,,NEIL ROSSER,,5.15,-55.06666667,Brown
