unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
1008,erato,erato chestertonii Heliconius,,,,desconocido,Frontino COL AN,,,m,,,,,KB 1979,,NEIL ROSSER,,6.766666667,-76.13333333,Brown
5967,erato,erato chestertonii Heliconius,,,,macho,Felidia s of COL VC,2000,2000,m,14,8,1979,Adams/Hardy,BMNH,,NEIL ROSSER,,3.466666667,-76.61666667,Brown
5968,erato,erato chestertonii Heliconius,,,,macho,Felidia s of COL VC,2000,2000,m,14,8,1979,Adams/Hardy,BMNH,,NEIL ROSSER,,3.466666667,-76.61666667,Brown
5970,erato,erato chestertonii Heliconius,,,,macho,Caloto COL CC,,,m,,,,,BMNH,,NEIL ROSSER,,3.036944444,-76.41166667,Geonames
5971,erato,erato chestertonii Heliconius,,,,macho,Coreato COL VC,,,m,,,,Paine & Brinkley,BMNH,,NEIL ROSSER,,3.183333333,-76.25,Brown
5972,erato,erato chestertonii Heliconius,,,,macho,Torne COL,,,m,,,,,BMNH,,NEIL ROSSER,,,,unknown
5973,erato,erato chestertonii Heliconius,,,,macho,Pereira distrito de COL RI,,,m,,,1886,"Valencia, G.",BMNH,,NEIL ROSSER,,4.816666667,-75.71666667,Brown
5974,erato,erato chestertonii Heliconius,,,,macho,Juntas Cauca COL VC,,,m,,,,"Mathan, M. de",BMNH,fin 1897 - 1/1898,NEIL ROSSER,,3.783333333,-76.16666667,Brown
5976,erato,erato chestertonii Heliconius,,,,macho,Dagua Rio COL VC,,,m,,,,"Rosenberg, W.F.H.",BMNH,,NEIL ROSSER,,3.55,-76.65,Brown
5977,erato,erato chestertonii Heliconius,,,,hembra,Antioquia COL AN,,,m,,,,,BMNH,,NEIL ROSSER,,6.555833333,-75.82361111,NIMA
5978,erato,erato chestertonii Heliconius,,,,hembra,Piedecuesta COL AN,8000,8000,ft,,7,1920,"Hall, A.",BMNH,,NEIL ROSSER,,6.882463889,-75.68124722,Geonames
5980,erato,erato chestertonii Heliconius,,,,hembra,Juntas Cauca COL VC,,,m,,,,,BMNH,fin 1897 - 1/1898,NEIL ROSSER,,3.783333333,-76.16666667,Brown
5982,erato,erato chestertonii Heliconius,,,,hembra,Felidia s of COL VC,2000,2000,m,14,8,1979,Adams/Hardy,BMNH,,NEIL ROSSER,,3.466666667,-76.61666667,Brown
5983,erato,erato chestertonii Heliconius,,,,macho,Frontino COL AN,,,m,,,,"Salmon, T.K.",BMNH,,NEIL ROSSER,,6.766666667,-76.13333333,Brown
5984,erato,erato chestertonii Heliconius,,,,macho,Espejuelo COL VC,,,m,,,1906,Paine & Brinkley,BMNH,03-Apr,NEIL ROSSER,,4.416666667,-75.95,Brown
5985,erato,erato chestertonii Heliconius,,,,macho,Cali COL VC,,,m,,,1894,"Rosenberg, W.F.H.",BMNH,09-Dec,NEIL ROSSER,,3.45,-76.51666667,Brown
5986,erato,erato chestertonii Heliconius,,,,macho,Matagang COL VC,1000,1000,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,3.45,-76.53333333,Brown
5988,erato,erato chestertonii Heliconius,,,,macho,Manizales COL CD,,,m,,,,"Pati�o, A.M.",BMNH,,NEIL ROSSER,,5.083333333,-75.53333333,Brown
5990,erato,erato chestertonii Heliconius,,,,macho,Colorado Rio COL,2500,2500,ft,,,,Watkins,BMNH,,NEIL ROSSER,,,,unknown
5991,erato,erato chestertonii Heliconius,,,,macho,Dagua Rio COL VC,,,m,,,,"Rosenberg, W.F.H.",BMNH,,NEIL ROSSER,,3.55,-76.65,Brown
5992,erato,erato chestertonii Heliconius,,,,macho,Popayan COL CC,,,m,,,1897,,BMNH,,NEIL ROSSER,,2.45,-76.6,Brown
5993,erato,erato chestertonii Heliconius,,,,macho,Valdivia COL AN,,,m,,,1897,Pratt,BMNH,,NEIL ROSSER,,7.15,-75.45,Brown
5994,erato,erato chestertonii Heliconius,,,f. molina,macho,Santa Elena COL AN,8000,8000,ft,,7,1920,"Hall, A.",BMNH,,NEIL ROSSER,,6.216666667,-75.5,Geonames
9321,erato,erato chestertonii Heliconius,,,,hembra,Calima COL VC,,,m,,4,1993,"Simon, M.",MGCL/FLMNH,,NEIL ROSSER,,3.933333333,-76.51666667,www.calle.com
9322,erato,erato chestertonii Heliconius,,,,macho,Calima COL VC,,,m,,4,1993,"Simon, M.",MGCL/FLMNH,,NEIL ROSSER,,3.933333333,-76.51666667,www.calle.com
9323,erato,erato chestertonii Heliconius,,,hybrid,macho,Calima Valley 45km w of Buga COL VC,,,m,25,4,1990,,MGCL/FLMNH,,NEIL ROSSER,,3.899233333,-76.62986944,Google Earth
9324,erato,erato chestertonii Heliconius,,,hybrid,macho,Calima alto COL VC,,,m,20,7,1984,"Simon, M.",MGCL/FLMNH,,NEIL ROSSER,,3.883333333,-76.6,Brown
9325,erato,erato chestertonii Heliconius,,,hybrid,macho,Calima Valley 45km w of Buga COL VC,1200,1200,m,3,1,,,MGCL/FLMNH,1990?,NEIL ROSSER,,3.899233333,-76.62986944,Google Earth
9326,erato,erato chestertonii Heliconius,,,hybrid,macho,Calima Valley 45km w of Buga COL VC,1200,1200,m,20,8,1990,,MGCL/FLMNH,,NEIL ROSSER,,3.899233333,-76.62986944,Google Earth
9335,erato,erato chestertonii Heliconius,,,,hembra,Calima Valley 45km w of Buga COL VC,1200,1200,m,9,4,1990,,MGCL/FLMNH,,NEIL ROSSER,,3.899233333,-76.62986944,Google Earth
