unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
1149,erato,erato cyrbia Heliconius,,,,desconocido,Naranjal ECD GU,,,m,,,,,KB 1979,,NEIL ROSSER,,-2.65,-79.61666667,Brown
5882,erato,erato cyrbia Heliconius,,,f. bella,macho,Santa Ana Maria ECD LR,,,m,,,,"Buchwald, L. von",BMNH,,NEIL ROSSER,,-0.966666667,-79.41666667,Brown
5883,erato,erato cyrbia Heliconius,,,f. bella,macho,Quevedo ECD LR,,,m,,,,"Buchwald, L. von",BMNH,,NEIL ROSSER,,-1.016666667,-79.45,Brown
5884,erato,erato cyrbia Heliconius,,,f. bella,macho,Angamarca ECD CO,,,m,,,,,BMNH,,NEIL ROSSER,,-1.116666667,-78.92666667,www.calle.com
5885,erato,erato cyrbia Heliconius,,,f. bella,macho,Cachabe ECD ES,,,m,,1,1897,"Rosenberg, W.F.H.",BMNH,,NEIL ROSSER,,1.05,-78.8,Brown
5887,erato,erato cyrbia Heliconius,,,f. bella,macho,Babahoyo ECD LR,,,m,,,,"Buckley, C.",BMNH,,NEIL ROSSER,,-1.816666667,-79.51666667,Brown
5888,erato,erato cyrbia Heliconius,,,f. bella,macho,La Chima ECD LR,,,m,,,1893,"Mathan, M. de",BMNH,1st sem,NEIL ROSSER,,-1.866666667,-79.16666667,Brown
5889,erato,erato cyrbia Heliconius,ST,"bella Heliconius erato (Heliconius, H.H. Riffarth 1907)",f. bella,macho,Los Llanos ECD CH,,,m,,,,,BMNH,,NEIL ROSSER,,-2.05,-78.96666667,Brown
5890,erato,erato cyrbia Heliconius,,,f. bella,hembra,Los Llanos ECD CH,1400,1400,m,,,,,BMNH,,NEIL ROSSER,,-2.05,-78.96666667,Brown
5891,erato,erato cyrbia Heliconius,,,f. bella,macho,Jorge ECD BO,,,m,,,,"Buckley, C.",BMNH,,NEIL ROSSER,,-2.066666667,-79.01666667,Brown
5892,erato,erato cyrbia Heliconius,,,f. bella,macho,Huigra ECD CH,2500,2500,ft,20,2,1913,"Hall, A.",BMNH,,NEIL ROSSER,,-2.290179,-78.982753,Google Earth
5894,erato,erato cyrbia Heliconius,,,f. bella,macho,Balzapamba ECD BO,,,m,,,,,BMNH,,NEIL ROSSER,,-1.783333333,-79.16666667,Brown
5895,erato,erato cyrbia Heliconius,,,f. bella,macho,Bodegas ECD,,,m,,,,,BMNH,,NEIL ROSSER,,-1.816666667,-79.51666667,Falling Rain
5896,erato,erato cyrbia Heliconius,,,f. bella,macho,Guayaquil ECD GU,,,m,,,,Hooker,BMNH,,NEIL ROSSER,,-2.166666667,-79.96666667,Brown
5897,erato,erato cyrbia Heliconius,,,f. bella,macho,Chimbo ECD CH,,,m,,,,"Mathan, M. de",BMNH,1897,NEIL ROSSER,,-2.233333333,-79.11666667,Brown
5900,erato,erato cyrbia Heliconius,,,f. bella,macho,Arenillas ECD EL,,,m,,,1891,"Mathan, M. de",BMNH,,NEIL ROSSER,,-3.55,-80.06666667,www.calle.com
6002,erato,erato cyrbia Heliconius,,,f. bella,hembra,Zaruma ECD EL,,,m,,,1891,"Mathan, M. de",BMNH,,NEIL ROSSER,,-3.683333333,-79.61666667,Brown
6003,erato,erato cyrbia Heliconius,,,f. bella,hembra,Ave Maria Hacienda ECD LR,,,m,,,,"Buchwald, L. von",BMNH,,NEIL ROSSER,,-0.966666667,-79.41666667,Brown
6068,erato,erato cyrbia Heliconius,,,,macho,Paramba ECD IM,,,m,,,1898,"Rosenberg, W.F.H.",BMNH,,NEIL ROSSER,,0.816666667,-78.35,Brown
