unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
983,erato,erato cf demophoon Heliconius,,,Appears in KB as erato ca. petiverana Heliconius.,desconocido,El Valle PAN,,,m,,,,,KB 1979,,NEIL ROSSER,,8.6,-80.13333333,Label
1235,erato,erato cf demophoon Heliconius,,,Appears as erato ca. petiverana Heliconius in KB,desconocido,Rey Isla del PAN PA,,,m,,,,,KB 1979,,NEIL ROSSER,,8.355436111,-78.90127778,Google Earth
1299,erato,erato cf demophoon Heliconius,,,Appears as erato ca. petiverana Heliconius in KB,desconocido,Santa Fe PAN VE,,,m,,,,,KB 1979,,NEIL ROSSER,,8.516666667,-81.08333333,Brown
1632,erato,erato cf demophoon Heliconius,,,Appears as erato ca. petiverana Heliconius in KB,descononcido,Rincon - Osa - Camino al Mar,,,m,,,,,KB 1979,,NEIL ROSSER,,8.707263889,-83.48579167,Google Earth
5914,erato,erato cf demophoon Heliconius,,,,macho,Pozo Azul de Pirris CRI SJ,,,m,,8,1927,,BMNH,,NEIL ROSSER,,9.583333333,-84.33333333,Brown
5916,erato,erato cf demophoon Heliconius,,,,hembra,Caldera CRI PU,250,250,ft,,10,1926,"Hall, A.",BMNH,,NEIL ROSSER,,9.933333333,-84.71666667,Brown
5924,erato,erato cf demophoon Heliconius,,,,macho,Poas Volcan CRI AL,,,m,,12,,,BMNH,,NEIL ROSSER,,10.18333333,-84.21666667,Brown
5925,erato,erato cf demophoon Heliconius,,,,macho,Piedras Negras CRI SJ,,,m,,,,,BMNH,,NEIL ROSSER,,9.916666667,-84.31666667,Geonames
5926,erato,erato cf demophoon Heliconius,,,,hembra,Pozo Azul de Pirris CRI SJ,,,m,,3,1929,,BMNH,,NEIL ROSSER,,9.583333333,-84.33333333,Brown
5928,erato,erato cf demophoon Heliconius,,,,hembra,Escazu CRI SJ,,,m,,10,1903,,BMNH,,NEIL ROSSER,,9.916666667,-84.13333333,Brown
5930,erato,erato cf demophoon Heliconius,,,,macho,V de Chiriqui PAN CQ,4000,6000,ft,,,,"Champion, G.C.",BMNH,,NEIL ROSSER,,8.583333333,-82.58333333,Brown
5931,erato,erato cf demophoon Heliconius,,,,macho,Bugaba PAN CQ,,,m,,,,Arce,BMNH,,NEIL ROSSER,,8.483333333,-82.61666667,Brown
5932,erato,erato cf demophoon Heliconius,,,,macho,Calobre PAN VE,,,m,,,,Arce,BMNH,,NEIL ROSSER,,8.316666667,-80.85,Brown
