unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
31,erato,erato emma Heliconius,,,,female,"El Huayabal, Navarro PER SM",100,100,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.2975,-75.71777778,Mallet lab database
34,erato,erato emma Heliconius,,,,male,"El Huayabal, Navarro PER SM",100,100,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.2975,-75.71777778,Mallet lab database
35,erato,erato emma Heliconius,,,,male,"El Huayabal, Navarro PER SM",100,100,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.2975,-75.71777778,Mallet lab database
36,erato,erato emma Heliconius,,,,male,"El Huayabal, Navarro PER SM",100,100,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.2975,-75.71777778,Mallet lab database
128,erato,erato emma Heliconius,,,,unknown,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
129,erato,erato emma Heliconius,,,,unknown,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
132,erato,erato emma Heliconius,,,,unknown,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
133,erato,erato emma Heliconius,,,,unknown,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
138,erato,erato emma Heliconius,,,,unknown,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
139,erato,erato emma Heliconius,,,,unknown,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
149,erato,erato emma Heliconius,,,,female,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",180,180,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
150,erato,erato emma Heliconius,,,,female,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",180,180,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
151,erato,erato emma Heliconius,,,,female,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",180,180,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
152,erato,erato emma Heliconius,,,,female,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",180,180,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
153,erato,erato emma Heliconius,,,,female,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",180,180,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
154,erato,erato emma Heliconius,,,,male,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",180,180,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
