unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
1062,erato,erato erato Heliconius,,,,desconocido,Karisparu GUY POT,,,m,,,,,KB 1979,,NEIL ROSSER,,4.916666667,-59.45,source not recorded
1473,erato,erato erato Heliconius,,,,descononcido,"Maroni, 100mi up FRG",,,m,,,,,KB 1979,,NEIL ROSSER,,4.542886111,-54.43608889,Google Earth
1483,erato,erato erato Heliconius,,,,descononcido,Maroni river 60 mi up FRG LM,,,m,,,,,KB 1979,,NEIL ROSSER,,4.807911111,-54.46801389,Google Earth
6512,erato,erato erato Heliconius,,,f. andremona,macho,Bas Maroni FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.25,-54.25,Brown 1979
6513,erato,erato erato Heliconius,,,f. andremona,macho,Nouveau Chantier FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.55,-53.93333333,Brown
6514,erato,erato erato Heliconius,,,f. andremona,macho,St Jean du Maroni FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.4,-54.08333333,Brown
6515,erato,erato erato Heliconius,,,f. andremona,macho,St Laurent du Maroni FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.5,-54.03333333,Brown
6516,erato,erato erato Heliconius,,,f. andremona,macho,Godebert - Maroni FRG,,,m,,,,,BMNH,,NEIL ROSSER,,5.516666667,-53.96666667,Geonames
6517,erato,erato erato Heliconius,,,f. uldarica,hembra,Courdonville FRG,,,m,,,,,BMNH,,NEIL ROSSER,,5.016666667,-52.65,Google Earth
6526,erato,erato erato Heliconius,,,f. oberthuri,macho,Berg - en - Dal SUR BR,,,m,,4,1982,"Ellacombe, G.W.",BMNH,,NEIL ROSSER,,5.15,-55.06666667,Brown
6529,erato,erato erato Heliconius,ST,"fuliginosa Heliconius erato (Heliconius, H.H. Riffarth 1907)",,macho,Berg - en - Dal SUR BR,,,m,,,,Michaelis,BMNH,,NEIL ROSSER,,5.15,-55.06666667,Brown
6530,erato,erato erato Heliconius,,,form?,macho,Saramacca River SUR BR,,,m,,,,Dyer,BMNH,,NEIL ROSSER,,5.25,-55.25,Brown 1979
6531,erato,erato erato Heliconius,,,f. erato,macho,Berg - en - Dal SUR BR,,,m,,5,1892,"Ellacombe, G.W.",BMNH,,NEIL ROSSER,,5.15,-55.06666667,Brown
6532,erato,erato erato Heliconius,,,f. erato,macho,Aroewarwa Creek SUR MW,,,m,,2,1905,"Klages, S.M.",BMNH,,NEIL ROSSER,,5.233333333,-54.31666667,Brown
6548,erato,erato erato Heliconius,,,f. latiflava,macho,St. Marguent? FRG,,,m,,,,,BMNH,,NEIL ROSSER,,,,unknown
6549,erato,erato erato Heliconius,,,f. tellus,macho,Roches de Kourou FRG,,,m,,10,,,BMNH,,NEIL ROSSER,,5.109236111,-52.60560278,Geonames + adjusted using Google Earth
