unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
57,erato,erato favorinus Heliconius,,,,male,"La Antenta, Km-14.7 Tarapoto - Yurimaguas PER SM",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.459305556,-76.29813889,SIMPSON GPS 2009
283,erato,erato favorinus Heliconius,,,New ID checked by KW & in Tarapoto paper by AW,unknown,"Km 7.2, Pongo - Barranquita PER SM",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.288888889,-76.22805556,Mallet lab database
309,erato,erato favorinus Heliconius,,,,male,Tarapoto-Yurinaguas (Km28) PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.424,-76.335,Jiggins
310,erato,erato favorinus Heliconius,,,,male,Tarapoto-Yurinaguas (Km28) PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.424,-76.335,Jiggins
311,erato,erato favorinus Heliconius,,,,male,Tarapoto-Yurinaguas (Km28) PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.424,-76.335,Jiggins
312,erato,erato favorinus Heliconius,,,,male,Tarapoto-Yurinaguas (Km28) PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.424,-76.335,Jiggins
313,erato,erato favorinus Heliconius,,,,male,Tarapoto-Yurinaguas (Km28) PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.424,-76.335,Jiggins
314,erato,erato favorinus Heliconius,,,,male,Tarapoto-Yurinaguas (Km28) PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.424,-76.335,Jiggins
315,erato,erato favorinus Heliconius,,,,female,Tarapoto-Yurinaguas (Km28) PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.424,-76.335,Jiggins
318,erato,erato favorinus Heliconius,,,,male,Tarapoto-Yurinaguas (Km28) PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.424,-76.335,Jiggins
