unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
813,erato,erato hydara Heliconius,,,,desconocido,Berbice River Upper GUY DB,,,m,,,,,KB 1979,,NEIL ROSSER,,4.75,-58.25,Brown 1979
829,erato,erato hydara Heliconius,,,,desconocido,Braganca BRA PA,,,m,,,,,KB 1979,,NEIL ROSSER,,-1.05,-46.78333333,Brown
859,erato,erato hydara Heliconius,,,,desconocido,Cameta BRA PA,,,m,,,,,KB 1979,,NEIL ROSSER,,-2.25,-49.5,NIMA
984,erato,erato hydara Heliconius,,,,desconocido,El Valle PAN,,,m,,,,,KB 1979,,NEIL ROSSER,,8.6,-80.13333333,Label
987,erato,erato hydara Heliconius,,,,desconocido,"Erere, NE of Serra da Hua BRA PA",,,m,,,,,KB 1979,,NEIL ROSSER,,-1.983333333,-54.16666667,Geonames
1007,erato,erato hydara Heliconius,,,Was down as erato hydara Heliconius - JM said should be guarica but I think hydara seems reasonable,desconocido,Frontino COL AN,,,m,,,,,KB 1979,,NEIL ROSSER,,6.766666667,-76.13333333,Brown
1062,erato,erato erato Heliconius,,,,desconocido,Karisparu GUY POT,,,m,,,,,KB 1979,,NEIL ROSSER,,4.916666667,-59.45,source not recorded
1084,erato,erato hydara Heliconius,,,,desconocido,Mabaruma GUY BW,,,m,,,,,KB 1979,,NEIL ROSSER,,8.2,-59.78333333,Brown
1110,erato,erato hydara Heliconius,,,,desconocido,Mantecal VEN BO,,,m,,,,,KB 1979,,NEIL ROSSER,,6.866666667,-65.63333333,Geonames
1121,erato,erato hydara Heliconius,,,,desconocido,Maracaibo VEN ZY,,,m,,,,,KB 1979,,NEIL ROSSER,,10.63166667,-71.64055556,Geonames
1140,erato,erato hydara Heliconius,,,,desconocido,Maues BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-3.366666667,-57.71666667,Brown
1150,erato,erato hydara Heliconius,,,,desconocido,Nazareth nr COL GU,,,m,,,,,KB 1979,,NEIL ROSSER,,12.11666667,-71.28333333,Map
1183,erato,erato hydara Heliconius,,,,desconocido,Parintins BRA PA,,,m,,,,,KB 1979,,NEIL ROSSER,,-2.633333333,-56.71666667,Brown
1214,erato,erato hydara Heliconius,,,,desconocido,Puerto Ayacucho VEN AM,,,m,,,,,KB 1979,,NEIL ROSSER,,5.6,-67.6,Brown
1262,erato,erato hydara Heliconius,,,,desconocido,San Fernando VEN AP,,,m,,,,,KB 1979,,NEIL ROSSER,,7.896666667,-67.46722222,Geonames
1270,erato,erato hydara Heliconius,,,,desconocido,San Jose del Guaviare COL GV,,,m,,,,,KB 1979,,NEIL ROSSER,,2.567222222,-72.63777778,www.calle.com
1300,erato,erato hydara Heliconius,,,,desconocido,Santa Fe PAN VE,,,m,,,,,KB 1979,,NEIL ROSSER,,8.516666667,-81.08333333,Brown
1448,erato,erato hydara Heliconius,,,,descononcido,Tartarugal Grande - 6km N BRA AP,,,m,,,,,KB 1979,,NEIL ROSSER,,1.4306,-50.905825,Google Earth
1472,erato,erato hydara Heliconius,,,,descononcido,"Maroni, 100mi up FRG",,,m,,,,,KB 1979,,NEIL ROSSER,,4.542886111,-54.43608889,Google Earth
1473,erato,erato erato Heliconius,,,,descononcido,"Maroni, 100mi up FRG",,,m,,,,,KB 1979,,NEIL ROSSER,,4.542886111,-54.43608889,Google Earth
1481,erato,erato hydara Heliconius,,,,descononcido,Maroni river 60 mi up FRG LM,,,m,,,,,KB 1979,,NEIL ROSSER,,4.807911111,-54.46801389,Google Earth
1483,erato,erato erato Heliconius,,,,descononcido,Maroni river 60 mi up FRG LM,,,m,,,,,KB 1979,,NEIL ROSSER,,4.807911111,-54.46801389,Google Earth
1521,erato,erato hydara Heliconius,,,,descononcido,Caicara a San Juan de Manapiare km170 VEN BO,,,m,,,,,KB 1979,,NEIL ROSSER,,6.29735,-66.12220556,Google Earth
1576,erato,erato hydara Heliconius,,,,descononcido,"Tumeremo, -5km E VEN BO",,,m,,,,,KB 1979,,NEIL ROSSER,,7.310675,-61.45976944,Google Earth
5864,erato,erato hydara Heliconius,,,,macho,Maracaibo VEN ZY,,,m,18,3,1939,,BMNH,,NEIL ROSSER,,10.63166667,-71.64055556,Geonames
5866,erato,erato hydara Heliconius,,,,macho,Muchuchachi VEN ME,,,m,,,,,BMNH,,NEIL ROSSER,,8.15,-71.33333333,Brown
5867,erato,erato hydara Heliconius,,,,macho,Puerto Cabello VEN CA,,,m,,,,,BMNH,,NEIL ROSSER,,10.46666667,-68.01666667,Brown
5868,erato,erato hydara Heliconius,,,,hembra,San Esteban VEN CA,,,m,,,1877,Hahnel de Sagan,BMNH,1st trim.,NEIL ROSSER,,10.43333333,-68.01666667,Brown
