unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
811,erato,erato lativitta Heliconius,,,,desconocido,Benjamin Constant BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-4.383333333,-70.03333333,Brown
833,erato,erato lativitta Heliconius,,,,desconocido,Branco Rio BRA AC,,,m,,,,,KB 1979,,NEIL ROSSER,,-8.75,-67.36666667,NIMA
1000,erato,erato lativitta Heliconius,,,,desconocido,Fonte Boa BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-2.516666667,-66.08333333,Brown
1043,erato,erato lativitta Heliconius,,,,desconocido,Jaru BRA RO,,,m,,,,,KB 1979,,NEIL ROSSER,,-10.45,-62.03333333,Brown
1100,erato,erato lativitta Heliconius,,,,desconocido,Manacapuru BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-3.299722222,-60.62055556,Geonames
1239,erato,erato lativitta Heliconius,,,,desconocido,Rio Morona PER LOR,,,m,,,,,KB 1979,,NEIL ROSSER,,-4.733091667,-77.06576944,Google Earth
1337,erato,erato lativitta Heliconius,,,,desconocido,Sao Paulo de Olivenca BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-3.466666667,-68.95,Brown
1354,erato,erato lativitta Heliconius,,,,desconocido,Sena Madureira BRA AC,,,m,,,,,KB 1979,,NEIL ROSSER,,-9.083333333,-68.68333333,Brown
1363,erato,erato lativitta Heliconius,,,,desconocido,Tarauaca BRA AC,,,m,,,,,KB 1979,,NEIL ROSSER,,-8.15,-70.76666667,Brown
1380,erato,erato lativitta Heliconius,,,,desconocido,Tonantins BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-2.866666667,-67.8,Brown
1478,erato,erato lativitta Heliconius,,,,descononcido,Manaus - Porto Velho km245 BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-4.710997222,-61.29129167,Google Earth
1532,erato,erato lativitta Heliconius,,,,descononcido,Manaus - Porto Velho km507 BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-6.432655556,-62.86500833,Google Earth
1535,erato,erato lativitta Heliconius,,,,descononcido,Manaus - Porto Velho km 519 BRA PA,,,m,,,,,KB 1979,,NEIL ROSSER,,-6.520902778,-62.92588889,Google Earth
1588,erato,erato lativitta Heliconius,,,,descononcido,Banheiro - Igarape BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-7.516666667,-63,Wikipedia (Type locality)
1607,erato,erato lativitta Heliconius,,,,descononcido,"Humaita, - a Labrea km 32 BRA AM",,,m,,,,,KB 1979,,NEIL ROSSER,,-7.535577778,-63.1536,Google Earth
1613,erato,erato lativitta Heliconius,,,,descononcido,"Humaita 20km E, - 25km E BRA AM",,,m,,,,,KB 1979,,NEIL ROSSER,,-7.561475,-62.85452778,Google Earth
1645,erato,erato lativitta Heliconius,,,,descononcido,Santo Antonio falls above BRA RO,,,m,,,,,KB 1979,,NEIL ROSSER,,-8.808238889,-63.94455833,Google Earth
6036,erato,erato lativitta Heliconius,HT,"ochracea Heliconius erato (Heliconius, H.H. Riffarth 1907)",f. ochracea,macho,Pastaza Rio Upper ECD,1000,1000,m,,,,,BMNH,,NEIL ROSSER,,-1.25,-78.25,Brown 1979
6037,erato,erato lativitta Heliconius,,,f. ochracea,macho,Apuya ECD NA,550,550,m,15,5,1993,"Neild, A.",BMNH,,NEIL ROSSER,,-1.105,-77.77833333,Map
6103,erato,erato lativitta Heliconius,,,,macho,Lago Agrio ECD SU,250,250,m,30,11,1977,"Samson, C.P.J.",BMNH,,NEIL ROSSER,,0.111111111,-76.91111111,Geonames
6104,erato,erato lativitta Heliconius,,,,macho,Osayacu ECD NA,1000,1000,m,3,11,1977,"Samson, C.P.J.",BMNH,,NEIL ROSSER,,-0.766666667,-77.78333333,Falling Rain
6105,erato,erato lativitta Heliconius,,,,macho,Misahualli ECD NA,500,500,m,3,11,1977,"Samson, C.P.J.",BMNH,,NEIL ROSSER,,-0.95,-77.8,Brown
6106,erato,erato lativitta Heliconius,,,,macho,Coca ECD NA,,,m,,,,"Haensch, R.",BMNH,,NEIL ROSSER,,-0.466666667,-76.98333333,Brown
6107,erato,erato lativitta Heliconius,,,,macho,Archidona ECD NA,,,m,,,,"Haensch, R.",BMNH,,NEIL ROSSER,,-0.916666667,-77.8,Brown
6108,erato,erato lativitta Heliconius,,,,hembra,Aguano ECD NA,,,m,,,,Simson,BMNH,,NEIL ROSSER,,-1.066666667,-77.55,Brown
6109,erato,erato lativitta Heliconius,,,,hembra,Coca ECD NA,,,m,,,,"Haensch, R.",BMNH,,NEIL ROSSER,,-0.466666667,-76.98333333,Brown
6112,erato,erato lativitta Heliconius,,,,macho,Pebas PER LO,,,m,,,,Michael,BMNH,1/10/1896 - 1/3/1897,NEIL ROSSER,,-3.316666667,-71.85,"Gerardo Lamas, unpub. gazetteer"
6114,erato,erato lativitta Heliconius,,,,macho,Rentema Falls PER AM,1000,1000,ft,,,,"Pratt, A. & E.",BMNH,,NEIL ROSSER,,-5.483333333,-78.55,"Gerardo Lamas, unpub. gazetteer"
6119,erato,erato lativitta Heliconius,,,,hembra,Maranon Rio PER ??,,,m,,,1913,,BMNH,,NEIL ROSSER,,-4.433333333,-73.45,"Gerardo Lamas, unpub. gazetteer"
6133,erato,erato lativitta Heliconius,,,,macho,Guajara-Mirim BOL BE,,,m,4,10,1929,"Fountaine, M.",BMNH,,NEIL ROSSER,,-10.8,-65.38333333,Geonames
