unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
62,erato,erato microclea Heliconius,,,,female,"Mina Pichita, 6 km S, San Ramon PER JU",1300,1300,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-11.139981,-75.416444,Google Earth
2,erato,erato microclea Heliconius,,,,female,"Camino a Catorata del Tirol, San Ramon PER JU",795,795,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-11.10861111,-75.34361111,Mallet lab database
3,erato,erato microclea Heliconius,,,,female,"Km 3, Satipo - Cashingari PER JU",500,500,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-11.14194444,-74.60944444,Mallet lab database
4,erato,erato microclea Heliconius,,,,female,"Km 3, Satipo - Cashingari PER JU",500,500,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-11.14194444,-74.60944444,Mallet lab database
5,erato,erato microclea Heliconius,,,,female,"Km 3, Satipo - Cashingari PER JU",500,500,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-11.14194444,-74.60944444,Mallet lab database
6005,erato,erato microclea Heliconius,,,,macho,Palcazu PER HU,,,m,,,,Sedlmayr,BMNH,,NEIL ROSSER,,-9.883333333,-74.93333333,Brown
6007,erato,erato microclea Heliconius,,,,macho,Chanchamayo PER JU,,,m,,,,"Schunke, O.",BMNH,,NEIL ROSSER,,-11.06666667,-75.31666667,Brown
6008,erato,erato microclea Heliconius,,,,macho,La Merced  PER JU,,,m,,,,"Schunke, O.",BMNH,,NEIL ROSSER,,-11.05,-75.31666667,"Gerardo Lamas, unpub. gazetteer"
6009,erato,erato microclea Heliconius,,,,macho,Perene Rio PER JU,1800,2000,ft,,,,"Watkins, C.",BMNH,"xii,ii,19,20",NEIL ROSSER,,-11.15,-74.3,"Gerardo Lamas, unpub. gazetteer"
6010,erato,erato microclea Heliconius,,,,macho,San Luis de Shuaro PER JU,2250,2250,ft,,11,1919,,BMNH,,NEIL ROSSER,,-10.88333333,-75.28333333,"Gerardo Lamas, unpub. gazetteer"
6011,erato,erato microclea Heliconius,,,,macho,Pichis Road PER PA,4800,4800,ft,14,2,1919,"Watkins, C.",BMNH,Date correct?,NEIL ROSSER,,-10.25,-74.75,Brown 1979
6012,erato,erato microclea Heliconius,,,,macho,Inca Perene PER JU,2000,2000,ft,,,,,BMNH,,NEIL ROSSER,,-10.88333333,-75.21666667,Geonames
6013,erato,erato microclea Heliconius,,,,macho,La Merced  PER JU,3000,4500,ft,,,1920,,BMNH,"i,ii",NEIL ROSSER,,-11.05,-75.31666667,"Gerardo Lamas, unpub. gazetteer"
6014,erato,erato microclea Heliconius,,,,macho,San Remon PER,3000,3000,ft,,8,1903,Watkins & Tomlinson,BMNH,,NEIL ROSSER,,-11.13333333,-75.35,Lamas unpublished
