unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
6027,erato,erato notabilis Heliconius,,,,macho,Ashpiyaco ECD,,,m,,,,"Buckley, C.",BMNH,,NEIL ROSSER,,,,unknown
6031,erato,erato notabilis Heliconius,,,,macho,La Victoria ECD TU,3500,3500,ft,,,,"Palmer, M.G.",BMNH,,NEIL ROSSER,,-1.408333333,-78.225,Map
6032,erato,erato notabilis Heliconius,,,f. radiata,macho,Pastaza Rio Upper ECD,1000,1000,m,,,,Niepelt,BMNH,,NEIL ROSSER,,-1.25,-78.25,Brown 1979
6033,erato,erato notabilis Heliconius,,,f. radiata,macho,Jibaria ECD,900,900,m,,,,,BMNH,,NEIL ROSSER,,-1.933333333,-77.78333333,Geonames
14026,erato,erato notabilis Heliconius,,,,unknown,Arajuno Rio ECD NA,1000,1000,m,,,1941,"McIntyre, W.C.",FLMNH (not labelled) - Basement,,NEIL ROSSER,,-1.233333333,-77.7,Brown
14028,erato,erato notabilis Heliconius,,,,unknown,Huagrayacu Rio ECD PA,900,900,m,,,1941,"McIntyre, W.C.",FLMNH (not labelled) - Basement,,NEIL ROSSER,,-1.416666667,-78.01666667,Brown
14029,erato,erato notabilis Heliconius,,,,unknown,Huagrayacu Rio ECD PA,900,900,m,,,1941,"McIntyre, W.C.",FLMNH (not labelled) - Basement,,NEIL ROSSER,,-1.416666667,-78.01666667,Brown
14030,erato,erato notabilis Heliconius,,,,unknown,Blanco Rio ECD TU,,,m,,,,Lafebre R. de la,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-1.383333333,-78.33333333,Brown
14031,erato,erato notabilis Heliconius,,,,unknown,Alpayacu ECD PA,3600,3600,ft,,,1910,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-1.466666667,-78.11666667,Brown
16150,erato,erato notabilis Heliconius,,,,unknown,Topo ECD TU,,,m,,,,,FLMNH (not labelled) - Accessions (2nd floor),,NEIL ROSSER,,-1.416666667,-78.16666667,Brown
16151,erato,erato notabilis Heliconius,,,,unknown,Pununo ECD NA,,,m,,,,,FLMNH (not labelled) - Accessions (2nd floor),,NEIL ROSSER,,-1.021666667,-77.67,Map
16152,erato,erato notabilis Heliconius,,,,unknown,Cumaneta ECD OR,,,m,,,,,FLMNH (not labelled) - Accessions (2nd floor),,NEIL ROSSER,,,,unknown
16153,erato,erato notabilis Heliconius,,,,unknown,Topo ECD TU,,,m,,,,,FLMNH (not labelled) - Accessions (2nd floor),,NEIL ROSSER,,-1.416666667,-78.16666667,Brown
16300,erato,erato notabilis Heliconius,,,,unknown,Topo Rio ECD TU,,,m,,,,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-1.416666667,-78.16666667,Brown
16301,erato,erato notabilis Heliconius,,,,unknown,Puyo 18 km n ECD PA,,,m,,,,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-1.390486111,-77.96516389,Google Earth
