unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
741,erato,erato petiverana Heliconius,,,,desconocido,Allende MEX VC,,,m,,,,,KB 1979,,NEIL ROSSER,,18.35,-92.85,Brown
769,erato,erato petiverana Heliconius,,,,desconocido,Augustine BEL CA,,,m,,,,,KB 1979,,NEIL ROSSER,,16.96666667,-88.96666667,Brown
818,erato,erato petiverana Heliconius,,,,desconocido,Bluefields NIC ZS,,,m,,,,,KB 1979,,NEIL ROSSER,,12.01666667,-83.76666667,Brown
840,erato,erato petiverana Heliconius,,,,desconocido,Brus Laguna de HON GD,,,m,,,,,KB 1979,,NEIL ROSSER,,15.75,-84.48333,Geonames
895,erato,erato petiverana Heliconius,,,,desconocido,Comoapa NIC BO,,,m,,,,,KB 1979,,NEIL ROSSER,,12.41666667,-85.51666667,Brown
958,erato,erato petiverana Heliconius,,,,desconocido,El Bluff NIC ZS,,,m,,,,,KB 1979,,NEIL ROSSER,,11.98333333,-83.66666667,Brown
973,erato,erato petiverana Heliconius,,,,desconocido,El Pujal MEX SP,,,m,,,,,KB 1979,,NEIL ROSSER,,21.85,-98.91666667,Brown
976,erato,erato petiverana Heliconius,,,,desconocido,El Salto MEX SP,,,m,,,,,KB 1979,,NEIL ROSSER,,22.63333333,-99.41666667,Brown
1011,erato,erato petiverana Heliconius,,,,desconocido,Gomez Farias MEX TM,,,m,,,,,KB 1979,,NEIL ROSSER,,23.05,-99.15,Brown
1029,erato,erato petiverana Heliconius,,,,desconocido,Isla Carmen MEX CA,,,m,,,,,KB 1979,,NEIL ROSSER,,18.70348611,-91.67574444,Google Earth
1127,erato,erato petiverana Heliconius,,,,desconocido,Matagalpa NIC MT,,,m,,,,,KB 1979,,NEIL ROSSER,,12.88333333,-85.91666667,Brown
1158,erato,erato petiverana Heliconius,,,,desconocido,Oaxaca MEX OA,,,m,,,,,KB 1979,,NEIL ROSSER,,17.05,-96.71666667,Brown
1170,erato,erato petiverana Heliconius,,,,desconocido,Orizaba MEX VC,,,m,,,,,KB 1979,,NEIL ROSSER,,18.85,-97.1,Brown
