unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
725,erato,erato phyllis Heliconius,,,,desconocido,Acailandia BRA MA,,,m,,,,,KB 1979,,NEIL ROSSER,,-5.533333333,-47.48333333,NIMA
761,erato,erato phyllis Heliconius,,,,desconocido,Anapolis BRA GO,,,m,,,,,KB 1979,,NEIL ROSSER,,-16.33333333,-48.96666667,Brown
787,erato,erato phyllis Heliconius,,,,desconocido,Baixo Guandu BRA ES,,,m,,,,,KB 1979,,NEIL ROSSER,,-19.51666667,-41.01666667,Brown
796,erato,erato phyllis Heliconius,,,,desconocido,Barra do Bugres BRA MO,,,m,,,,,KB 1979,,NEIL ROSSER,,-15.06666667,-57.16666667,Brown
848,erato,erato phyllis Heliconius,,,,desconocido,Buenos Aires ARG BA,,,m,,,,,KB 1979,,NEIL ROSSER,,-34.6,-58.45,Brown
849,erato,erato phyllis Heliconius,,,,desconocido,Caaguazu PAR CZ,,,m,,,,,KB 1979,,NEIL ROSSER,,-25.43333333,-56.03333333,Brown
860,erato,erato phyllis Heliconius,,,,desconocido,Campo Formoso BRA BA,,,m,,,,,KB 1979,,NEIL ROSSER,,-10.51666667,-40.31666667,Brown
863,erato,erato phyllis Heliconius,,,,desconocido,Candoi BRA PR,,,m,,,,,KB 1979,,NEIL ROSSER,,-25.53333333,-52.03333333,Brown
865,erato,erato phyllis Heliconius,,,,desconocido,Catamarca ARG CA,,,m,,,,,KB 1979,,NEIL ROSSER,,-28.46666667,-65.78333333,Brown
866,erato,erato phyllis Heliconius,,,,desconocido,Cavalcante BRA GO,,,m,,,,,KB 1979,,NEIL ROSSER,,-13.78333333,-47.48333333,Brown
871,erato,erato phyllis Heliconius,,,,desconocido,Caxambu BRA MG,,,m,,,,,KB 1979,,NEIL ROSSER,,-21.98333333,-44.93333333,Brown
876,erato,erato phyllis Heliconius,,,,desconocido,Chapada dos Veadeiros BRA GO,,,m,,,,,KB 1979,,NEIL ROSSER,,-14.13333333,-47.51666667,Brown
