unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
846,erato,erato venus Heliconius,,,,desconocido,Buenaventura COL VC,,,m,,,,,KB 1979,,NEIL ROSSER,,3.893333333,-77.06972222,Geonames
1006,erato,erato venus Heliconius,,,,desconocido,Frontino COL AN,,,m,,,,,KB 1979,,NEIL ROSSER,,6.766666667,-76.13333333,Brown
1021,erato,erato venus Heliconius,,,,desconocido,Guisito [Rio] COL CC,,,m,,,,,KB 1979,,NEIL ROSSER,,2.616666667,-77.18333333,NIMA
5997,erato,erato venus Heliconius,,,,macho,Bella Vista COL CH,,,m,,8,1927,,BMNH,,NEIL ROSSER,,6.523611111,-76.97444444,Geonames
5998,erato,erato venus Heliconius,,,,macho,El Tigre COL CH,320,320,ft,,2,1909,,BMNH,,NEIL ROSSER,,4.95,-76.51666667,Brown
5999,erato,erato venus Heliconius,,,,macho,Juntas Rio Tamana COL CH,405,405,ft,,2,1909,,BMNH,,NEIL ROSSER,,4.983333333,-76.4,Brown
6000,erato,erato venus Heliconius,,,,macho,Dagua COL VC,200,200,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,3.666666667,-76.7,www.calle.com
6062,erato,erato venus Heliconius,,,,macho,San Pablo COL CH,,,m,,,,,BMNH,,NEIL ROSSER,,5.216666667,-76.65,Brown
6064,erato,erato venus Heliconius,,,,hembra,Choco COL CC,,,m,26,4,1913,Spurrell,BMNH,,NEIL ROSSER,,3.5,-77.33333333,Geonames
6065,erato,erato venus Heliconius,,,,hembra,Luebrada (?) de dia (?) Sanza Rio Yamana COL,800,800,ft,,3,1904,Palma,BMNH,,NEIL ROSSER,,,,unknown
14182,erato,erato venus Heliconius,,,,unknown,Junction Old Buenaventura rd and Rio Tatabro COL VC,,,m,,,,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,3.7,-76.96666667,Google Earth
14183,erato,erato venus Heliconius,,,,unknown,Calima bajo COL VC,300,300,ft,,,1988,"Sullivan, J.B.",FLMNH (not labelled) - Basement,,NEIL ROSSER,,3.996388889,-76.97444444,Geonames
14184,erato,erato venus Heliconius,,,,unknown,"Rodea, Iscuande COL NA",30,30,ft,,,1977,"Hutchings, R.W.",FLMNH (not labelled) - Basement,,NEIL ROSSER,,2.444983333,-77.97110278,Google Earth
14185,erato,erato venus Heliconius,,,,unknown,Guapi COL CC,0,0,m,,,1985,"Sullivan, J.B.",FLMNH (not labelled) - Basement,,NEIL ROSSER,,2.553888889,-77.85833333,NIMA
14186,erato,erato venus Heliconius,,,,unknown,Old Buenaventura rd km 55 -65 COL VC,,,m,,,,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,3.606944444,-76.87888889,Google Earth
14213,erato,erato venus Heliconius,,,,unknown,"Rodea, Iscuande COL NA",30,30,ft,,,1977,"Hutchings, R.W.",FLMNH (not labelled) - Basement,,NEIL ROSSER,,2.444983333,-77.97110278,Google Earth
14214,erato,erato venus Heliconius,,,,unknown,Guapi COL CC,0,0,m,,,1985,"Sullivan, J.B.",FLMNH (not labelled) - Basement,,NEIL ROSSER,,2.553888889,-77.85833333,NIMA
14215,erato,erato venus Heliconius,,,,unknown,Junction Old Buenaventura rd and Rio Tatabro COL VC,,,m,,,,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,3.7,-76.96666667,Google Earth
14216,erato,erato venus Heliconius,,,,unknown,Cali - Buenaventura (old road) km 45 COL VC,,,m,,,,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,3.559694444,-76.80255833,Google Earth
