unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
778,himera,himera Heliconius,,,,desconocido,Ayabaca Mountains PER PI,,,m,,,,,KB 1979,,NEIL ROSSER,,-4.666666667,-79.71666667,Brown
862,himera,himera Heliconius,,,,desconocido,Canchaque PER PI,,,m,,,,,KB 1979,,NEIL ROSSER,,-5.366666667,-79.61666667,"Gerardo Lamas, unpub. gazetteer"
872,himera,himera Heliconius,,,,desconocido,Chachapoyas PER AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-6.233333333,-77.88333333,"Gerardo Lamas, unpub. gazetteer"
1024,himera,himera Heliconius,,,,desconocido,Huamachuco PER LL,,,m,,,,,KB 1979,,NEIL ROSSER,,-7.816666667,-78.06666667,"Gerardo Lamas, unpub. gazetteer"
1187,himera,himera Heliconius,,,,desconocido,Pedro Ruiz PER AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-5.95,-77.98333333,"Gerardo Lamas, unpub. gazetteer"
1209,himera,himera Heliconius,,,,desconocido,Pucara PER CA,,,m,,,,,KB 1979,,NEIL ROSSER,,-6.033333333,-79.13333333,"Gerardo Lamas, unpub. gazetteer"
9727,himera,himera Heliconius,,,,macho,Vilcabamba ECD LO,1600,1600,m,,5,1974,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-4.266666667,-79.21666667,Brown
9728,himera,himera Heliconius,,,,macho,Vilcabamba ECD LO,1600,1600,m,,5,1974,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-4.266666667,-79.21666667,Brown
9729,himera,himera Heliconius,,,,macho,Vilcabamba ECD LO,1600,1600,m,,5,1974,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-4.266666667,-79.21666667,Brown
9730,himera,himera Heliconius,,,,hembra,Vilcabamba ECD LO,1600,1600,m,,5,1974,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-4.266666667,-79.21666667,Brown
9731,himera,himera Heliconius,,,,macho,Vilcabamba ECD LO,1600,1600,m,,5,1974,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-4.266666667,-79.21666667,Brown
9732,himera,himera Heliconius,,,,macho,Vilcabamba ECD LO,1600,1600,m,,5,1974,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-4.266666667,-79.21666667,Brown
9733,himera,himera Heliconius,,,,macho,Vilcabamba ECD LO,1600,1600,m,,5,1974,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-4.266666667,-79.21666667,Brown
9734,himera,himera Heliconius,,,,macho,Vilcabamba ECD LO,1600,1600,m,,5,1974,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-4.266666667,-79.21666667,Brown
9735,himera,himera Heliconius,,,,macho,Malacatos ECD LO,1500,1500,m,23,8,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-4.233333333,-79.28333333,www.calle.com
9736,himera,himera Heliconius,,,,macho,Malacatos ECD LO,1500,1500,m,18,8,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-4.233333333,-79.28333333,www.calle.com
9737,himera,himera Heliconius,,,,macho,Vilcabamba ECD LO,1600,1600,m,,5,1974,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-4.266666667,-79.21666667,Brown
10865,himera,himera Heliconius,,,,macho,Yangana ECD LO,1850,1850,m,24,7,1993,,MGCL/FLMNH,,NEIL ROSSER,,-4.356666667,-79.16666667,Map
15876,himera,himera Heliconius,,,,unknown,Bagua Grande PER AM,2500,2500,m,,,1971,Grubner,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-5.776111111,-78.43444444,www.calle.com
15877,himera,himera Heliconius,,,,unknown,Bagua Grande PER AM,,,m,,,1971,Grubner,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-5.776111111,-78.43444444,www.calle.com
16104,himera,himera Heliconius,,,,unknown,Chanchaque PER PI,,,m,,,,,FLMNH (not labelled) - Accessions (2nd floor),,NEIL ROSSER,,-5.366666667,-79.61666667,"Gerardo Lamas, unpub. gazetteer"
