unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
86,melpomene,melpomene aglaope Heliconius,,,aglaope x amaryllis (spp not assigned - amended 30.11.09),unknown,"Puente Serranoyacu, above Rioja PER SM",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.680416667,-77.68036111,Mallet lab database
21,melpomene,melpomene aglaope Heliconius,,,aglaope x amaryllis. Taken by LL to Peru for ref. Ssp not assigned amended 30.11.09,unknown,Aguas Verdes Puente PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.683333333,-77.65,"Gerardo Lamas, unpub. gazetteer"
23,melpomene,melpomene aglaope Heliconius,,,aglaope x amaryllis (spp not assigned - amended 30.11.09),unknown,Pongo de Caynarachi PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.335277778,-76.25416667,Mallet lab database
38,melpomene,melpomene aglaope Heliconius,,,,male,"Camina Inayuca, Trail Huimbayoc to Navarro PER SM",50,50,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.3875,-75.74722222,Mallet lab database
131,melpomene,melpomene aglaope Heliconius,,,,unknown,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
148,melpomene,melpomene aglaope Heliconius,,,,male,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",180,180,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
156,melpomene,melpomene aglaope Heliconius,,,,male,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",180,180,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
157,melpomene,melpomene aglaope Heliconius,,,,male,"Km-103.1 Tarapoto-Yurimaguas - road to Micaela Bastida, 2.5 km in PER LO",180,180,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.983694444,-76.22008333,SIMPSON GPS 2009
235,melpomene,melpomene aglaope Heliconius,,,,unknown,"Santa Rosa de Davidcillo, Km 72, Tarapoto - Yurimaguas PER SM",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.248611111,-76.26388889,Mallet lab database
245,melpomene,melpomene aglaope Heliconius,,,,male,"Rumi Callarina, Pelejo PER SM",100,100,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.974722222,-75.84305556,Mallet lab database
289,melpomene,melpomene aglaope Heliconius,,,,male,"Km 7.2, Pongo - Barranquita PER SM",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.288888889,-76.22805556,Mallet lab database
306,melpomene,melpomene aglaope Heliconius,,,aglaope x amaryllis (spp not assigned - amended 30.11.09),female,Tarapoto-Yurinaguas (Km28) PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.424,-76.335,Jiggins
307,melpomene,melpomene aglaope Heliconius,,,aglaope x amaryllis (spp not assigned - amended 30.11.09),male,Tarapoto-Yurinaguas (Km28) PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.424,-76.335,Jiggins
329,melpomene,melpomene aglaope Heliconius,,,,unknown,"Km 30, Tarapoto - Yurimaguas PER SM",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.3975,-76.30833333,Mallet lab database
356,melpomene,melpomene aglaope Heliconius,,,amaryllis x aglaope. Ssp NA amended 30.11.09,male,Shilcayo Rio PER SM,500,500,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-6.466666667,-76.35,"Gerardo Lamas, unpub. gazetteer"
511,melpomene,melpomene aglaope Heliconius,,,,male,"R�o Pauya/R�o Cushabatay confluence, PNCAZ PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-7.155,-75.72333333,Mallet lab database
512,melpomene,melpomene aglaope Heliconius,,,,male,"R�o Pauya/R�o Cushabatay confluence, PNCAZ PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-7.155,-75.72333333,Mallet lab database
513,melpomene,melpomene aglaope Heliconius,,,,male,"R�o Pauya/R�o Cushabatay confluence, PNCAZ PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-7.155,-75.72333333,Mallet lab database
514,melpomene,melpomene aglaope Heliconius,,,,male,"R�o Pauya/R�o Cushabatay confluence, PNCAZ PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-7.155,-75.72333333,Mallet lab database
515,melpomene,melpomene aglaope Heliconius,,,aglaope x amaryllis,male,"R�o Pauya/R�o Cushabatay confluence, PNCAZ PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-7.155,-75.72333333,Mallet lab database
516,melpomene,melpomene aglaope Heliconius,,,,male,"R�o Pauya/R�o Cushabatay confluence, PNCAZ PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-7.155,-75.72333333,Mallet lab database
526,melpomene,melpomene aglaope Heliconius,,,,male,"Quebrada Paco, PNCAZ PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-7.163611111,-75.68916667,Mallet lab database
528,melpomene,melpomene aglaope Heliconius,,,,male,"Puesto de Control 106, Parque Nacional Cordillera Azul PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-7.304444444,-75.585,Mallet lab database
529,melpomene,melpomene aglaope Heliconius,,,agalaope x amaryllis,male,"Puesto de Control 106, Parque Nacional Cordillera Azul PER LO",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-7.304444444,-75.585,Mallet lab database
