unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
65,melpomene,melpomene amaryllis Heliconius,,,,unknown,Aguas Verdes Puente PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.683333333,-77.65,"Gerardo Lamas, unpub. gazetteer"
66,melpomene,melpomene amaryllis Heliconius,,,,unknown,Aguas Verdes Puente PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.683333333,-77.65,"Gerardo Lamas, unpub. gazetteer"
67,melpomene,melpomene amaryllis Heliconius,,,,unknown,Aguas Verdes Puente PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.683333333,-77.65,"Gerardo Lamas, unpub. gazetteer"
71,melpomene,melpomene amaryllis Heliconius,,,,unknown,Aguas Verdes Puente PER SM,,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.683333333,-77.65,"Gerardo Lamas, unpub. gazetteer"
73,melpomene,melpomene amaryllis Heliconius,,,,male,Venceremos (Primero Baden) PER SM,1630,1630,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.6575,-77.74222222,Mallet lab database
74,melpomene,melpomene amaryllis Heliconius,,,,male,Venceremos + 4 km (Segundo Baden) PER SM,1780,1780,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.661388889,-77.75222222,Mallet lab database
75,melpomene,melpomene amaryllis Heliconius,,,,male,Venceremos + 4 km (Segundo Baden) PER SM,1780,1780,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.661388889,-77.75222222,Mallet lab database
77,melpomene,melpomene amaryllis Heliconius,,,,female,"Puente Serranoyacu, above Rioja PER SM",1200,1200,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.680416667,-77.68036111,Mallet lab database
78,melpomene,melpomene amaryllis Heliconius,,,,female,"Puente Serranoyacu, above Rioja PER SM",1200,1200,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.680416667,-77.68036111,Mallet lab database
79,melpomene,melpomene amaryllis Heliconius,,,,male,"Puente Serranoyacu, above Rioja PER SM",1200,1200,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.680416667,-77.68036111,Mallet lab database
82,melpomene,melpomene amaryllis Heliconius,,,,unknown,"Puente Serranoyacu, above Rioja PER SM",,,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-5.680416667,-77.68036111,Mallet lab database
