unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
724,melpomene,melpomene burchelli Heliconius,,,,desconocido,Acailandia BRA MA,,,m,,,,,KB 1979,,NEIL ROSSER,,-5.533333333,-47.48333333,NIMA
795,melpomene,melpomene burchelli Heliconius,,,,desconocido,Barra do Bugres BRA MO,,,m,,,,,KB 1979,,NEIL ROSSER,,-15.06666667,-57.16666667,Brown
942,melpomene,melpomene burchelli Heliconius,,,,desconocido,Cuiaba BRA MO,,,m,,,,,KB 1979,,NEIL ROSSER,,-15.6,-56.08333333,Brown
1027,melpomene,melpomene burchelli Heliconius,,,,desconocido,Ipora 22 km w BRA GO,,,m,,,,,KB 1979,,NEIL ROSSER,,-16.43333333,-51.31666667,Brown
1249,melpomene,melpomene burchelli Heliconius,,,,desconocido,Salto Augusto BRA MO,,,m,,,,,KB 1979,,NEIL ROSSER,,-8.882433333,-58.55410278,Geonames + Google Earth
1308,melpomene,melpomene burchelli Heliconius,,,,desconocido,Santa Maria de Taguatinga BRA GO,,,m,,,,,KB 1979,,NEIL ROSSER,,-12.4,-46.43333333,Brown
1396,melpomene,melpomene burchelli Heliconius,,,,desconocido,17-53c S,,,m,,,,,KB 1979,,NEIL ROSSER,,-17.25,-53.25,Brown 1979
1413,melpomene,melpomene burchelli Heliconius,,,,desconocido,Vila Rondon BRA PA,,,m,,,,,KB 1979,,NEIL ROSSER,,-4.77611,-48.06722,www.calle.com
1616,melpomene,melpomene burchelli Heliconius,,,,descononcido,"Pau d'Arco Rio, -17km N, - 27km N BRA PA",,,m,,,,,KB 1979,,NEIL ROSSER,,-7.660413889,-50.02026944,Google Earth
1639,melpomene,melpomene burchelli Heliconius,,,,descononcido,Mirandopolis 3km NW BRA GO,,,m,,,,,KB 1979,,NEIL ROSSER,,-8.807133333,-48.61757222,Google Earth
1647,melpomene,melpomene burchelli Heliconius,,,,descononcido,"Bois-Rio dos-18km N, Vila Nova- 12km N Rio Dos Bois BRA GO",,,m,,,,,KB 1979,,NEIL ROSSER,,-9.214522222,-48.54271944,Google Earth
5716,melpomene,melpomene burchelli Heliconius,,,"Central Brazi ""nanna"" have been called burchelli - KB 1974 - see map notes",macho,Maranham BRA MH,,,m,,,,Orchard,BMNH,,NEIL ROSSER,,-2.52972,-44.30278,Geonames
5717,melpomene,melpomene burchelli Heliconius,,,"Central Brazi ""nanna"" have been called burchelli - KB 1974 - see map notes",macho,Burity BRA MO,,,m,,6,1927,"Collenette, C.L.",BMNH,Nov-16,NEIL ROSSER,,-15.43333333,-55.83333333,Brown
5721,melpomene,melpomene burchelli Heliconius,,,"Central Brazi ""nanna"" have been called burchelli - KB 1974 - see map notes",macho,Melguira BRA MO,2000,2000,ft,,,1927,"Collenette, C.L.",BMNH,23/5 - 3/6.,NEIL ROSSER,,-14.53333333,-56.31666667,Brown
