unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
5458,melpomene,melpomene cythera Heliconius,ST,"modesta Heliconius melpomene (Heliconius, H.H. Riffarth 1900)",ab. modesta hyb,macho,Paramba ECD IM,,,m,,,,,BMNH,,NEIL ROSSER,,0.816666667,-78.35,Brown
5459,melpomene,melpomene cythera Heliconius,,,f. cythera,macho,Cachabe ECD ES,,,m,,1,1897,"Rosenberg, W.F.H.",BMNH,,NEIL ROSSER,,1.05,-78.8,Brown
5460,melpomene,melpomene cythera Heliconius,,,f. cythera,macho,Palmar ECD MA,,,m,,,,"Haensch, R.",BMNH,,NEIL ROSSER,,-0.166666667,-79.46666667,Brown
5461,melpomene,melpomene cythera Heliconius,,,f. cythera,macho,Santa Ana Maria ECD LR,,,m,,,,"Buchwald, L. von",BMNH,,NEIL ROSSER,,-0.966666667,-79.41666667,Brown
5462,melpomene,melpomene cythera Heliconius,,,f. cythera,macho,Quevedo ECD LR,,,m,,,,"Buchwald, L. von",BMNH,,NEIL ROSSER,,-1.016666667,-79.45,Brown
5465,melpomene,melpomene cythera Heliconius,,,f. cythera,macho,Balzapamba ECD BO,,,m,,,,"Haensch, R.",BMNH,,NEIL ROSSER,,-1.783333333,-79.16666667,Brown
5466,melpomene,melpomene cythera Heliconius,,,f. cythera,macho,Los Llanos ECD CH,,,m,,,1906,,BMNH,07-Sep,NEIL ROSSER,,-2.05,-78.96666667,Brown
5468,melpomene,melpomene cythera Heliconius,,,f. cythera,macho,Chimbo ECD CH,1000,1000,ft,,7,1897,"Rosenberg, W.F.H.",BMNH,,NEIL ROSSER,,-2.233333333,-79.11666667,Brown
5469,melpomene,melpomene cythera Heliconius,,,f. cythera,hembra,Loja environs ECD LO,,,m,,,1885,Gaujon,BMNH,,NEIL ROSSER,,-4.066666667,-79.2,Map
5470,melpomene,melpomene cythera Heliconius,HT,"concinna Heliconius (Heliconius, H.F.E.J. Stichel 1906)","melpomene cythera x cydno alithea. Species was orginally entered as melpomene xenoclea - unclear why. Amended to cythera 1.12.09, and corresponding duplicate for cydno alithea created.",macho,Balzapamba ECD BO,,,m,,,,,BMNH,,NEIL ROSSER,,-1.783333333,-79.16666667,Brown
10401,melpomene,melpomene cythera Heliconius,,,,macho,Balzapamba ECD BO,,,m,,,,"Rosenberg, W.F.H.",MGCL/FLMNH,,NEIL ROSSER,,-1.783333333,-79.16666667,Brown
10403,melpomene,melpomene cythera Heliconius,,,,macho,Palmar ECD MA,200,200,m,13,4,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-0.166666667,-79.46666667,Brown
10404,melpomene,melpomene cythera Heliconius,,,,macho,Palmar ECD MA,200,200,m,6,4,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-0.166666667,-79.46666667,Brown
10405,melpomene,melpomene cythera Heliconius,,,,macho,Piedras ECD EL,300,300,m,5,7,1941,,MGCL/FLMNH,,NEIL ROSSER,,-3.633333333,-79.91083333,large map
10406,melpomene,melpomene cythera Heliconius,,,,macho,Toachi Rio ECD PI,800,800,m,,11,1939,,MGCL/FLMNH,,NEIL ROSSER,,-0.383333333,-78.93333333,Brown
10407,melpomene,melpomene cythera Heliconius,,,,macho,Palmar ECD MA,200,200,m,5,4,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-0.166666667,-79.46666667,Brown
10408,melpomene,melpomene cythera Heliconius,,,,macho,Santo Domingo de los Colorados ECD PI,500,500,m,25,1,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-0.25,-79.15,Brown
10409,melpomene,melpomene cythera Heliconius,,,,macho,La Lorena ECD PI,550,550,m,28,2,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-0.265402778,-79.10773611,Google Earth
