unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
1439,melpomene,melpomene ecuadorensis Heliconius,,,,desconocido,Zamora ECD ZC,,,m,,,,,KB 1979,,NEIL ROSSER,,-4.066666667,-78.96666667,Brown
4886,melpomene,melpomene ecuadorensis Heliconius,,,f. ecuadorensis,macho,Macas ECD MS,,,m,,10,1927,"Spillmann, W.",BMNH,,NEIL ROSSER,,-2.316666667,-78.11666667,Brown
4888,melpomene,melpomene ecuadorensis Heliconius,,,f. ecuadorensis,macho,Gualaquiza ECD MS,,,m,,,,,BMNH,,NEIL ROSSER,,-3.416666667,-78.6,Brown
4889,melpomene,melpomene ecuadorensis Heliconius,,,f. ecuadorensis,macho,Zamora ECD ZC,3000,4000,ft,,,,"Baron, O.T.",BMNH,,NEIL ROSSER,,-4.066666667,-78.96666667,Brown
10377,melpomene,melpomene ecuadorensis Heliconius,,,,macho,Zumbi ECD SZ,700,700,m,7,11,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-3.891388889,-78.77861111,Geonames
10384,melpomene,melpomene ecuadorensis Heliconius,,,,macho,Layaico ECD ZC,1000,1000,m,21,11,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,,,unknown
10385,melpomene,melpomene ecuadorensis Heliconius,,,,macho,Layaico ECD ZC,1000,1000,m,12,11,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,,,unknown
10386,melpomene,melpomene ecuadorensis Heliconius,,,,macho,Zamora ECD SZ,1000,1000,m,16,10,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-4.066666667,-78.96666667,Brown
10388,melpomene,melpomene ecuadorensis Heliconius,,,,hembra,Zamora ECD SZ,,,m,24,10,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-4.066666667,-78.96666667,Brown
10389,melpomene,melpomene ecuadorensis Heliconius,,,,hembra,Zamora ECD SZ,1000,1000,m,16,10,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-4.066666667,-78.96666667,Brown
10392,melpomene,melpomene ecuadorensis Heliconius,,,,macho,Zumbi ECD SZ,700,700,m,1,11,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-3.891388889,-78.77861111,Geonames
10393,melpomene,melpomene ecuadorensis Heliconius,,,,macho,Gualaquiza ECD MS,1000,1000,m,22,12,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-3.416666667,-78.6,Brown
10394,melpomene,melpomene ecuadorensis Heliconius,,,,macho,Zamora ECD ZC,1000,1000,m,16,10,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-4.066666667,-78.96666667,Brown
10397,melpomene,melpomene ecuadorensis Heliconius,,,,macho,Gualaquiza ECD MS,1000,1000,m,22,12,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-3.416666667,-78.6,Brown
10398,melpomene,melpomene ecuadorensis Heliconius,,,,macho,Zamora ECD ZC,1000,1000,m,26,10,1941,"Laddey, D.B.",MGCL/FLMNH,,NEIL ROSSER,,-4.066666667,-78.96666667,Brown
16283,melpomene,melpomene ecuadorensis Heliconius,,,,unknown,Pumayacu Rio Macas ECD MS,,,m,,,,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-2.316666667,-78.11666667,Geonames
16825,melpomene,melpomene ecuadorensis Heliconius,,,,unknown,Zamora ECD ZC,,,m,,,,,NHM Accessions - draw 7986,,NEIL ROSSER,,-4.066666667,-78.96666667,Brown
17113,melpomene,melpomene ecuadorensis Heliconius,,,f. ecuadorensis. This specimen was originalyl entered as melpomene aglaope Heliconius  - assumed error given form.,unknown,Limon 72km N of ECD,630,630,m,28,3,1975,Bristow,NHM Accesions - draws 9718,,NEIL ROSSER,,-2.583333333,-78.2,label
25474,melpomene,melpomene ecuadorensis Heliconius,,,,macho,Zamora ECD ZC,980,980,m,24,1,1992,,FLMNH,,Neil Rosser,,-4.066666667,-78.96666667,Brown
25475,melpomene,melpomene ecuadorensis Heliconius,,,,hembra,Zamora ECD ZC,980,980,m,28,1,1992,,FLMNH,,Neil Rosser,,-4.066666667,-78.96666667,Brown
