unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
767,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,desconocido,Arima BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-5.791111111,-63.63305556,Geonames
809,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,desconocido,Benjamin Constant BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-4.383333333,-70.03333333,Brown
832,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,desconocido,Branco Rio BRA AC,,,m,,,,,KB 1979,,NEIL ROSSER,,-8.75,-67.36666667,NIMA
1042,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,desconocido,Jaru BRA RO,,,m,,,,,KB 1979,,NEIL ROSSER,,-10.45,-62.03333333,Brown
1068,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,desconocido,Labrea BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-7.266666667,-64.78333333,Brown
1099,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,desconocido,Manacapuru BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-3.299722222,-60.62055556,Geonames
1138,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,desconocido,Maues BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-3.366666667,-57.71666667,Brown
1336,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,desconocido,Sao Paulo de Olivenca BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-3.466666667,-68.95,Brown
1362,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,desconocido,Tarauaca BRA AC,,,m,,,,,KB 1979,,NEIL ROSSER,,-8.15,-70.76666667,Brown
1379,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,desconocido,Tonantins BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-2.866666667,-67.8,Brown
1421,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,desconocido,Yahuas Territory PER LO,,,m,,,,,KB 1979,,NEIL ROSSER,,-3.35,-71.98333333,"Gerardo Lamas, unpub. gazetteer"
1476,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,descononcido,Manaus - Porto Velho km245 BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-4.710997222,-61.29129167,Google Earth
1527,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,descononcido,Acara Lago BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-6.385319444,-62.50255556,Google Earth
1530,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,descononcido,Manaus - Porto Velho km507 BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-6.432655556,-62.86500833,Google Earth
1534,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,descononcido,Manaus - Porto Velho km 519 BRA PA,,,m,,,,,KB 1979,,NEIL ROSSER,,-6.520902778,-62.92588889,Google Earth
1587,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,descononcido,Banheiro - Igarape BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-7.516666667,-63,Wikipedia (Type locality)
1594,melpomene,melpomene malleti Heliconius,,,Appears in Brown as melpomene aglaope Heliconius - according to Jim this should be malleti - see map notes.,descononcido,Paraiso Lago BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-7.521422222,-62.91703889,Google Earth + Geonames
