unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
827,melpomene,melpomene melpomene Heliconius,,,,desconocido,Braganca BRA PA,,,m,,,,,KB 1979,,NEIL ROSSER,,-1.05,-46.78333333,Brown
922,melpomene,melpomene melpomene Heliconius,,,,desconocido,Cucuta COL NS,,,m,,,,,KB 1979,,NEIL ROSSER,,7.9,-72.51666667,Brown
1109,melpomene,melpomene melpomene Heliconius,,,,desconocido,Mantecal VEN BO,,,m,,,,,KB 1979,,NEIL ROSSER,,6.866666667,-65.63333333,Geonames
1137,melpomene,melpomene melpomene Heliconius,,,,desconocido,Maues BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-3.366666667,-57.71666667,Brown
1212,melpomene,melpomene melpomene Heliconius,,,,desconocido,Puerto Ayacucho VEN AM,,,m,,,,,KB 1979,,NEIL ROSSER,,5.6,-67.6,Brown
1261,melpomene,melpomene melpomene Heliconius,,,,desconocido,San Fernando VEN AP,,,m,,,,,KB 1979,,NEIL ROSSER,,7.896666667,-67.46722222,Geonames
1268,melpomene,melpomene melpomene Heliconius,,,,desconocido,San Jose del Guaviare COL GV,,,m,,,,,KB 1979,,NEIL ROSSER,,2.567222222,-72.63777778,www.calle.com
1447,melpomene,melpomene melpomene Heliconius,,,,descononcido,Tartarugal Grande - 6km N BRA AP,,,m,,,,,KB 1979,,NEIL ROSSER,,1.4306,-50.905825,Google Earth
1574,melpomene,melpomene melpomene Heliconius,,,,descononcido,"Tumeremo, -5km E VEN BO",,,m,,,,,KB 1979,,NEIL ROSSER,,7.310675,-61.45976944,Google Earth
4092,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Muchuchachi VEN ME,,,m,,,,,BMNH,,NEIL ROSSER,,8.15,-71.33333333,Brown
4093,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Paracotos VEN DF,,,m,30,1,1972,McGuiness,BMNH,,NEIL ROSSER,,10.27138889,-66.95277778,Geonames
4094,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Bolivar VEN BO,,,m,,,,Bowden,BMNH,,NEIL ROSSER,,8.122222222,-63.54972222,Geonames
4095,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,hembra,Maipures COL VI,,,m,,1,1899,Cherrie,BMNH,,NEIL ROSSER,,5.195,-67.83388889,Falling Rain
4096,melpomene,melpomene melpomene Heliconius,,,f. fumosa part. Note was labelled melpomene vulcanus Heliconius in BM amended - see map notes.,hembra,El Dorado - Sta Elena km 119 VEN BO,800,800,m,20,8,1990,"Neild, A.",BMNH,,NEIL ROSSER,,5.962433333,-61.43179722,Google Earth
4104,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,hembra,Santa Lucia VEN MI,,,m,,,,"Muter, W.",BMNH,,NEIL ROSSER,,10.30305556,-66.66055556,Geonames
4105,melpomene,melpomene melpomene Heliconius,,,Note was labelled melpomene vulcanus Heliconius in BM amended - see map notes.,macho,Berbice GUY UB,,,m,,,,,BMNH,,NEIL ROSSER,,5.45,-57.95,Brown
4106,melpomene,melpomene melpomene Heliconius,,,Note was labelled melpomene vulcanus Heliconius in BM amended - see map notes.,macho,"Essequibo River, Moraballi Creek, GUY",,,m,,10,1929,Oxford University Expedition,BMNH,19-24,NEIL ROSSER,,6.183333333,-58.55,http://www.bio.uu.nl/~herba/Guyana/Plant_Diversity_Guyana/Downloads/Chapter%2003%20Appendix%201.PDF
4107,melpomene,melpomene melpomene Heliconius,,,Note was labelled melpomene vulcanus Heliconius in BM amended - see map notes.,macho,Aunai GUY UT,,,m,,,,"Whitely, H.",BMNH,,NEIL ROSSER,,5.366666667,-58.88333333,Brown
4108,melpomene,melpomene melpomene Heliconius,,,Note was labelled melpomene vulcanus Heliconius in BM amended - see map notes.,macho,Demerara GUY ??,,,m,,,,,BMNH,,NEIL ROSSER,,6.8,-58.16666667,www.calle.com
4109,melpomene,melpomene melpomene Heliconius,,,Note was labelled melpomene vulcanus Heliconius in BM amended - see map notes.,hembra,Bartica GUY CM,,,m,12,2,,,BMNH,,NEIL ROSSER,,6.4,-58.61666667,Brown
4110,melpomene,melpomene melpomene Heliconius,,,Note was labelled melpomene vulcanus Heliconius in BM amended - see map notes.,macho,Carimang River GUY CM,,,m,,,,"Whitely, H.",BMNH,,NEIL ROSSER,,5.7,-59.63333333,Brown
4111,melpomene,melpomene melpomene Heliconius,,,,macho,Demerara GUY ??,,,m,,,,,BMNH,,NEIL ROSSER,,6.8,-58.16666667,www.calle.com
4854,melpomene,melpomene melpomene Heliconius,,,f. trimacula,macho,St Jean du Maroni FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.4,-54.08333333,Brown
4855,melpomene,melpomene melpomene Heliconius,,,f. trimacula,hembra,St Laurent du Maroni FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.5,-54.03333333,Brown
5557,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,"Rio Guachaca, COL MA",50,50,m,9,7,1971,Adams & Bernard,BMNH,,NEIL ROSSER,,11.26666667,-73.81666667,http://www.tageo.com/index-e-co-v-18-d-m826082.htm?Rio+guachaca
5561,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Onaca COL MA,2000,2000,ft,,,,"Engelke, C.",BMNH,,NEIL ROSSER,,11.18333333,-74.06666667,Brown
5562,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Rio Frio COL MA,,,m,7,8,1927,"Salt, G.",BMNH,,NEIL ROSSER,,10.91666667,-74.16666667,Geonames
5563,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Pueblo Viejo COL MA,,,m,,,,Simons,BMNH,,NEIL ROSSER,,10.98333333,-73.45,Brown
5566,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Rio Negro (Fassl) COL,,,m,,,,,BMNH,,NEIL ROSSER,,4.25,-73.75,Mallet and Jackson 1980
5567,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Tucurinca COL MA,,,m,3,9,1897,Havier?,BMNH,,NEIL ROSSER,,10.65,-74.16666667,Google Earth
5569,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Onaca COL MA,,,m,,,,"Engelke, C.",BMNH,end 6 - beg 8,NEIL ROSSER,,11.18333333,-74.06666667,Brown
5570,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,El Banco COL MA,,,m,,,,"Allen, C.",BMNH,,NEIL ROSSER,,9.016666667,-73.98333333,Brown
5571,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Peperital - Buenavista COL ME,400,1300,m,,1,1897,Burger,BMNH,16-18,NEIL ROSSER,,4.162222222,-73.663275,Google Earth
5572,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Villavicencio COL ME,400,400,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,4.15,-73.63333333,Brown
5574,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,San Martin COL ME,,,m,,,,"Child, G.D.",BMNH,,NEIL ROSSER,,3.7,-73.7,Brown
5575,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Pueblo Bello COL EC,1100,1100,m,1,8,1971,Adams & Bernard,BMNH,,NEIL ROSSER,,10.41666667,-73.58333333,Brown
5576,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Los Clavos Rio COL EC,350,350,m,2,8,1971,Adams & Bernard,BMNH,,NEIL ROSSER,,10.16666667,-73.41666667,Brown
5577,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,"Rio Guachaca, COL MA",0,0,m,9,7,1971,Adams & Bernard,BMNH,,NEIL ROSSER,,11.26666667,-73.81666667,http://www.tageo.com/index-e-co-v-18-d-m826082.htm?Rio+guachaca
5578,melpomene,melpomene melpomene Heliconius,,,ID? flagrans or vulcanus? Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,El Campano COL MA,1300,1300,m,4,7,1971,Adams & Bernard,BMNH,,NEIL ROSSER,,11.11432222,-74.09986111,Antweb reference
5586,melpomene,melpomene melpomene Heliconius,,,f. fumosa part. Note was labelled melpomene vulcanus Heliconius in BM amended - see map notes.,macho,San Martin COL ME,,,m,,,,"Child, G.D.",BMNH,,NEIL ROSSER,,3.7,-73.7,Brown
5588,melpomene,melpomene melpomene Heliconius,,,f. fumosa part. -note was labelled melpomene vulcanus Heliconius in BM amended - see map notes.,macho,San Fernando VEN AP,,,m,,,1896,Laglaize,BMNH,,NEIL ROSSER,,7.896666667,-67.46722222,Geonames
5590,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,"Las Cruces, Colon VEN TA",250,750,ft,24,12,1929,,BMNH,,NEIL ROSSER,,8.080555556,-72.24777778,Geonames
5591,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,San Esteban VEN CA,,,m,,6,1909,"Klages, S.M.",BMNH,,NEIL ROSSER,,10.43333333,-68.01666667,Brown
5592,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Quebrada Gonzalez VEN ME,4500,4500,ft,15,8,1938,Hanbury Tracey,BMNH,,NEIL ROSSER,,8.148797222,-71.19316667,Google Earth + Falling Rain
5593,melpomene,melpomene melpomene Heliconius,,,,macho,"Hetia (=Hitia), Berbice River GUY",,,m,9,7,1914,Patoir,BMNH,,NEIL ROSSER,,5.8,-57.75,Geonames
5594,melpomene,melpomene melpomene Heliconius,,,,macho,Parika GUY EW,,,m,,2,1936,"Hall, A.",BMNH,,NEIL ROSSER,,6.866666667,-58.41666667,Brown
5595,melpomene,melpomene melpomene Heliconius,,,,hembra,Friendship GUY ??,,,m,22,3,1915,Patoir,BMNH,,NEIL ROSSER,,6.666666667,-58.16666667,Brown
5597,melpomene,melpomene melpomene Heliconius,,,f. lucia (Cramer? - Stoll in Lamas),macho,Berg - en - Dal SUR BR,,,m,,,,,BMNH,July?,NEIL ROSSER,,5.15,-55.06666667,Brown
5598,melpomene,melpomene melpomene Heliconius,,,,macho,Paramaribo SUR PM,,,m,,1,1892,"Ellacombe, G.W.",BMNH,,NEIL ROSSER,,5.833333333,-55.16666667,Brown
5599,melpomene,melpomene melpomene Heliconius,,,f. fumosa part. Note was labelled melpomene vulcanus Heliconius in BM amended - see map notes.,macho,Caracas  VEN DF,,,m,,,,Maj. A. Pam,BMNH,,NEIL ROSSER,,10.5,-66.91666667,Brown
5600,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,Mocotone VEN,,,m,,,,,BMNH,,NEIL ROSSER,,8.09806,-71.3675,Geonames
5601,melpomene,melpomene melpomene Heliconius,,,,macho,Bersaba SUR PA,,,m,,,1898,Michael,BMNH,,NEIL ROSSER,,5.533333333,-55.05,Brown
5602,melpomene,melpomene melpomene Heliconius,,,,macho,Saramacca River SUR BR,,,m,,,,Dyer,BMNH,,NEIL ROSSER,,5.25,-55.25,Brown 1979
5603,melpomene,melpomene melpomene Heliconius,,,Note was labelled melpomene vulcanus Heliconius in BM amended - see map notes.,macho,Cayenne FRG CY,,,m,,,,,BMNH,,NEIL ROSSER,,4.933333333,-52.33333333,Brown
5604,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,macho,St Jean du Maroni FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.4,-54.08333333,Brown
5605,melpomene,melpomene melpomene Heliconius,,,Appears in BM as melpomene flagrans Heliconius - unclear what this should be - i've called it melpomene melpomene for the time being - see map notes,hembra,Cayenne FRG CY,,,m,,,,,BMNH,,NEIL ROSSER,,4.933333333,-52.33333333,Brown
5606,melpomene,melpomene melpomene Heliconius,,,,hembra,St Laurent du Maroni FRG LM,,,m,,,1915,,BMNH,07-Sep,NEIL ROSSER,,5.5,-54.03333333,Brown
5607,melpomene,melpomene melpomene Heliconius,,,,macho,St Jean du Maroni FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.4,-54.08333333,Brown
5608,melpomene,melpomene melpomene Heliconius,,,,hembra,Roches de Kourou FRG,,,m,,8,,,BMNH,,NEIL ROSSER,,5.109236111,-52.60560278,Geonames + adjusted using Google Earth
5609,melpomene,melpomene melpomene Heliconius,,,,macho,Nouveau Chantier FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.55,-53.93333333,Brown
5610,melpomene,melpomene melpomene Heliconius,,,f. luteipicta,hembra,Godebert - Maroni FRG,,,m,,,,,BMNH,,NEIL ROSSER,,5.516666667,-53.96666667,Geonames
5611,melpomene,melpomene melpomene Heliconius,,,,macho,Juhuty BRA AM,,,m,,4,1905,"Mathan, M. de",BMNH,,NEIL ROSSER,,-3.683333333,-56.56666667,Copied from NIMA
5613,melpomene,melpomene melpomene Heliconius,,,,macho,Obidos BRA PA,,,m,,,,Bates,BMNH,,NEIL ROSSER,,-1.9,-55.51666667,Brown
5614,melpomene,melpomene melpomene Heliconius,,,,macho,Santarem BRA PA,,,m,,,,"Smith, D.",BMNH,,NEIL ROSSER,,-2.433333333,-54.71666667,Brown
5615,melpomene,melpomene melpomene Heliconius,,,,macho,Urumanzal BRA PA,,,m,22,7,1954,Cambridge University Amazon Expedition,BMNH,,NEIL ROSSER,,-1.941666667,-54.73833333,"Urumanzal produces two obscure internet references, one of them saying it is 40km from Alenquer. Coordinates are for Alenquer."
5616,melpomene,melpomene melpomene Heliconius,,,,macho,Barreiros de Curua 50 km east of Santarem,,,m,,,,,BMNH,,NEIL ROSSER,,-2.39095,-54.09458611,Geonames + Google Earth
5617,melpomene,melpomene melpomene Heliconius,,,,macho,Maranham BRA MH,,,m,,,,"Belt, T.",BMNH,,NEIL ROSSER,,-2.52972,-44.30278,Geonames
5618,melpomene,melpomene melpomene Heliconius,,,,macho,Taperinha BRA PA,,,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,-0.866666667,-47.81666667,NIMA
5619,melpomene,melpomene melpomene Heliconius,,,f. collis,macho,Bas Maroni FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.25,-54.25,Brown 1979
5620,melpomene,melpomene melpomene Heliconius,,,f. collis,macho,Maroni Lower FRG,,,m,,,1920,,BMNH,08-Sep,NEIL ROSSER,,5.25,-54.25,Brown 1979
5621,melpomene,melpomene melpomene Heliconius,,,f. faivrei,macho,St. Mangucul (?) FRG,,,m,,,,,BMNH,,NEIL ROSSER,,,,unknown
5623,melpomene,melpomene melpomene Heliconius,,,,macho,Piquia BRA PA,,,m,16,8,1954,Cambridge University Amazon Expedition,BMNH,,NEIL ROSSER,,-2.666666667,-54.96666667,
