unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
786,melpomene,melpomene nanna Heliconius,,,,desconocido,Baixo Guandu BRA ES,,,m,,,,,KB 1979,,NEIL ROSSER,,-19.51666667,-41.01666667,Brown
952,melpomene,melpomene nanna Heliconius,,,,desconocido,Doce rio alto BRA ME,,,m,,,,,KB 1979,,NEIL ROSSER,,-21.02583333,-43.41138889,Geonames
1070,melpomene,melpomene nanna Heliconius,,,,desconocido,Lajedao BRA BA,,,m,,,,,KB 1979,,NEIL ROSSER,,-17.66666667,-40.28333333,Brown
1124,melpomene,melpomene nanna Heliconius,,,,desconocido,Mata Velha BRA MH,,,m,,,,,KB 1979,,NEIL ROSSER,,-3.991666667,-43.14111111,NIMA
1288,melpomene,melpomene nanna Heliconius,,,,desconocido,Santa Cruz BRA ES,,,m,,,,,KB 1979,,NEIL ROSSER,,-19.95,-40.15,Brown
1291,melpomene,melpomene nanna Heliconius,,,,desconocido,Santa Cruz do Sul BRA RS,,,m,,,,,KB 1979,,NEIL ROSSER,,-29.71666667,-52.42666667,www.calle.com
5744,melpomene,melpomene nanna Heliconius,,,,macho,Pernambuco (=Recife) BRA PE,,,m,,,,"Moss, A.M.",BMNH,,NEIL ROSSER,,-8.783333333,-37.7,Falling Rain
5745,melpomene,melpomene nanna Heliconius,,,,macho,Leopoldina BRA ES,,,m,,,,,BMNH,,NEIL ROSSER,,-20.1,-40.53333333,NIMA
5746,melpomene,melpomene nanna Heliconius,,,,macho,Theophilo Ottoni BRA ME,,,m,,,,"Birch, F.",BMNH,1907-08,NEIL ROSSER,,-17.85,-41.5,NIMA
5747,melpomene,melpomene nanna Heliconius,,,,macho,Espirito Santo BRA ES,,,m,,,,,BMNH,,NEIL ROSSER,,-20.33333333,-40.28333333,NIMA
5748,melpomene,melpomene nanna Heliconius,,,,macho,Espirito Santo BRA ES,,,m,,,,,BMNH,,NEIL ROSSER,,-20.33333333,-40.28333333,NIMA
5749,melpomene,melpomene nanna Heliconius,,,,macho,Theophilo Ottoni BRA ME,,,m,,,,,BMNH,,NEIL ROSSER,,-17.85,-41.5,NIMA
5750,melpomene,melpomene nanna Heliconius,ST,"burchelli Heliconius melpomene (Heliconius, E.B. Poulton 1910)",Grouped with nanna presumably by Brown - see note for burchelli,macho,Itaparica BRA BA,,,m,13,12,1905,Meade-Waldo,BMNH,,NEIL ROSSER,,-12.88333333,-38.68333333,Brown
