unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
5509,melpomene,melpomene plesseni Heliconius,,,f. plesseni,macho,Alpayacu ECD PA,3600,3600,ft,,6,1910,,BMNH,,NEIL ROSSER,,-1.466666667,-78.11666667,Brown
5510,melpomene,melpomene plesseni Heliconius,,,f. plesseni,macho,Pastaza Rio Upper ECD PA,1000,1000,m,,,,Niepelt,BMNH,,NEIL ROSSER,,-1.538391667,-78.06732222,Google Earth
5511,melpomene,melpomene plesseni Heliconius,,,f. plesseni,macho,Banos ECD TU,,,m,,,,Gomez,BMNH,,NEIL ROSSER,,-1.4,-78.41666667,Brown
5512,melpomene,melpomene plesseni Heliconius,,,f. plesseni,macho,Machay Hda ECU TU,,,m,,,,Stolzmann,BMNH,,NEIL ROSSER,,-1.4,-78.26666667,Geonames
5513,melpomene,melpomene plesseni Heliconius,,,f. plesseni,macho,Achiyacu Rio ECD NA,,,m,,,,"Buckley, C.",BMNH,,NEIL ROSSER,,-1.011666667,-77.905,Map
5515,melpomene,melpomene plesseni Heliconius,,,f. plesseni,macho,Puyo ECD PA,3100,3100,ft,,11,1910,,BMNH,,NEIL ROSSER,,-1.466666667,-77.98333333,Brown
5516,melpomene,melpomene plesseni Heliconius,,,f. corona,macho,Topo Rio ECD TU,,,m,,,,"Buckley, C.",BMNH,,NEIL ROSSER,,-1.416666667,-78.16666667,Brown
5517,melpomene,melpomene plesseni Heliconius,,,,macho,Partidero ECD PA,800,800,m,25,7,1935,,BMNH,,NEIL ROSSER,,-1.433333333,-77.98333333,Brown
5518,melpomene,melpomene plesseni Heliconius,ST,"pura Heliconius melpomene (Heliconius, F.W. Niepelt 1907)",,hembra,Pastaza Rio Upper ECD PA,1000,1000,m,,,,Niepelt,BMNH,,NEIL ROSSER,,-1.538391667,-78.06732222,Google Earth
5523,melpomene,melpomene plesseni Heliconius,ST,"niepelti Heliconius melpomene (Heliconius, H.H. Riffarth 1907)",,macho,Pastaza Rio Upper ECD PA,,,m,,,,,BMNH,,NEIL ROSSER,,-1.538391667,-78.06732222,Google Earth
10551,melpomene,melpomene plesseni Heliconius,,,,hembra,Tigre Rio ECD TU,1200,1200,m,,8,1970,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-1.416666667,-78.16666667,Brown
10552,melpomene,melpomene plesseni Heliconius,,,,hembra,Huagrayacu Rio ECD PA,900,900,m,17,4,1941,Macintyre,MGCL/FLMNH,,NEIL ROSSER,,-1.416666667,-78.01666667,Brown
10553,melpomene,melpomene plesseni Heliconius,,,,hembra,La Mascota ECD TU,1200,1200,m,,8,1970,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-1.385,-78.21,Map
10554,melpomene,melpomene plesseni Heliconius,,,,hembra,Topo ECD TU,,,m,8,3,1962,SHO,MGCL/FLMNH,,NEIL ROSSER,,-1.416666667,-78.16666667,Brown
10555,melpomene,melpomene plesseni Heliconius,,,,hembra,La Mascota ECD TU,1200,1200,m,,8,1970,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-1.385,-78.21,Map
10556,melpomene,melpomene plesseni Heliconius,,,,hembra,La Mascota ECD TU,1200,1200,m,,8,1970,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-1.385,-78.21,Map
10557,melpomene,melpomene plesseni Heliconius,,,,macho,La Mascota ECD TU,1200,1200,m,,8,1970,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-1.385,-78.21,Map
10558,melpomene,melpomene plesseni Heliconius,,,,macho,Sadzayacu ECD OR,,,m,,11,1967,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-1.183333333,-77.83333333,unrecorded - darwin_ecuador_MECN
10559,melpomene,melpomene plesseni Heliconius,,,,macho,Blanco Rio ECD TU,,,m,,10,1964,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-1.383333333,-78.33333333,Brown
10561,melpomene,melpomene plesseni Heliconius,,,,macho,Arajuno Rio ECD NA,1000,1000,m,23,4,1941,"McIntyre, W.C.",MGCL/FLMNH,,NEIL ROSSER,,-1.233333333,-77.7,Brown
10562,melpomene,melpomene plesseni Heliconius,,,,macho,Huagrayacu Rio ECD PA,900,900,m,16,4,1941,"McIntyre, W.C.",MGCL/FLMNH,,NEIL ROSSER,,-1.416666667,-78.01666667,Brown
10563,melpomene,melpomene plesseni Heliconius,,,,macho,Sadzayacu ECD OR,,,m,,11,1967,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-1.183333333,-77.83333333,unrecorded - darwin_ecuador_MECN
10564,melpomene,melpomene plesseni Heliconius,,,,macho,Sadzayacu ECD OR,,,m,,11,1967,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-1.183333333,-77.83333333,unrecorded - darwin_ecuador_MECN
10566,melpomene,melpomene plesseni Heliconius,,,,macho,Tigre Rio ECD TU,1200,1200,m,,8,1970,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-1.416666667,-78.16666667,Brown
10568,melpomene,melpomene plesseni Heliconius,,,,macho,Alpayacu ECD PA,3600,3600,ft,,7,1910,,MGCL/FLMNH,,NEIL ROSSER,,-1.466666667,-78.11666667,Brown
10570,melpomene,melpomene plesseni Heliconius,,,,macho,Pastaza Rio Upper ECD,1000,1000,m,,,,Niepelt,MGCL/FLMNH,,NEIL ROSSER,,-1.25,-78.25,Brown 1979
10572,melpomene,melpomene plesseni Heliconius,,,,macho,Arajuno Rio ECD NA,1000,1000,m,23,4,1941,"McIntyre, W.C.",MGCL/FLMNH,,NEIL ROSSER,,-1.233333333,-77.7,Brown
10573,melpomene,melpomene plesseni Heliconius,,,,macho,La Mascota ECD TU,1200,1200,m,,8,1970,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-1.385,-78.21,Map
10574,melpomene,melpomene plesseni Heliconius,,,,macho,La Mascota ECD TU,1200,1200,m,,8,1970,Lafebre R. de la,MGCL/FLMNH,,NEIL ROSSER,,-1.385,-78.21,Map
15844,melpomene,melpomene plesseni Heliconius,,,,unknown,Topo ECD TU,,,m,,,,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-1.416666667,-78.16666667,Brown
15845,melpomene,melpomene plesseni Heliconius,,,,unknown,Topo ECD TU,1700,1700,m,,,,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-1.416666667,-78.16666667,Brown
15846,melpomene,melpomene plesseni Heliconius,,,,unknown,Cashurcu ECD TU,,,m,,,,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-1.416666667,-78.16666667,http://www.nhm.ac.uk/research-curation/research/projects/solanaceaesource/taxonomy/specimen-detail.jsp?collection=75
15847,melpomene,melpomene plesseni Heliconius,,,,unknown,Chianta ECD,1000,1000,m,,,1972,Coll. Grober,FLMNH (not labelled) - Basement,,NEIL ROSSER,,,,unknown
15848,melpomene,melpomene plesseni Heliconius,,,,unknown,Apuya ECD NA,,,m,,,,,FLMNH (not labelled) - Basement,,NEIL ROSSER,,-1.105,-77.77833333,Map
15849,melpomene,melpomene plesseni Heliconius,,,,unknown,Chianta ECD,1300,1300,m,,,1972,Coll. Grober,FLMNH (not labelled) - Basement,,NEIL ROSSER,,,,unknown
16822,melpomene,melpomene plesseni Heliconius,,,,unknown,Alpayacu ECD PA,3600,3600,ft,,,,"Palmer, M.G.",NHM Accessions - draw 7986,,NEIL ROSSER,,-1.466666667,-78.11666667,Brown
16841,melpomene,melpomene plesseni Heliconius,,,,unknown,Ashpiyaco ECD,,,m,,,,,NHM Accesions - draws 9049,,NEIL ROSSER,,,,unknown
16904,melpomene,melpomene plesseni Heliconius,,,,unknown,El Chaco 8km N ECD NA,1800,1800,m,,,1977,Samson,NHM Accesions - draws 9052,,NEIL ROSSER,,-0.286911111,-77.76866111,Google Earth
16924,melpomene,melpomene plesseni Heliconius,,,,unknown,El Chaco 8km N ECD NA,1800,1800,m,,,1977,Samson,NHM Accesions - draws 9052,,NEIL ROSSER,,-0.286911111,-77.76866111,Google Earth
16925,melpomene,melpomene plesseni Heliconius,,,,unknown,El Chaco 8km N ECD NA,1800,1800,m,,,1977,Samson,NHM Accesions - draws 9052,,NEIL ROSSER,,-0.286911111,-77.76866111,Google Earth
16926,melpomene,melpomene plesseni Heliconius,,,,unknown,El Chaco 8km N ECD NA,1800,1800,m,,,1977,Samson,NHM Accesions - draws 9052,,NEIL ROSSER,,-0.286911111,-77.76866111,Google Earth
16932,melpomene,melpomene plesseni Heliconius,,,,unknown,Antisana Rio lower ECD CO,2000,2000,m,,,1977,Samson,NHM Accesions - draws 9052,,NEIL ROSSER,,-0.760902778,-78.08759722,Google Earth
17102,melpomene,melpomene plesseni Heliconius,,,f. plesseni,unknown,Topo Rio (Bristow) ECD,1240,1240,m,13,2,1975,Bristow,NHM Accesions - draws 9718,,NEIL ROSSER,,-1.416666667,-78.18333333,label
17103,melpomene,melpomene plesseni Heliconius,,,f. plesseni,unknown,Topo Rio (Bristow) ECD,1240,1240,m,13,2,1975,Bristow,NHM Accesions - draws 9718,,NEIL ROSSER,,-1.416666667,-78.18333333,label
17104,melpomene,melpomene plesseni Heliconius,,,f. diadema,unknown,Topo Rio (Bristow) ECD,1240,1240,m,13,2,1975,Bristow,NHM Accesions - draws 9718,,NEIL ROSSER,,-1.416666667,-78.18333333,label
17105,melpomene,melpomene plesseni Heliconius,,,f. diadema,unknown,Topo Rio (Bristow) ECD,1240,1240,m,17,2,1975,Bristow,NHM Accesions - draws 9718,,NEIL ROSSER,,-1.416666667,-78.18333333,label
25177,melpomene,melpomene plesseni Heliconius,,,,macho,Topo ECD TU,1250,1250,m,4,2,1992,"Vel�stegui, C.",FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25178,melpomene,melpomene plesseni Heliconius,,,,hembra,Tigre Rio ECD TU,1250,1250,m,12,2,1992,,FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25179,melpomene,melpomene plesseni Heliconius,,,,macho,Topo ECD TU,1250,1250,m,27,5,1982,,FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25180,melpomene,melpomene plesseni Heliconius,,,,hembra,Topo ECD TU,1250,1250,m,12,2,1992,"Vel�stegui, C.",FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25181,melpomene,melpomene plesseni Heliconius,,,,macho,Topo ECD TU,1200,1200,m,20,9,1972,,FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25182,melpomene,melpomene plesseni Heliconius,,,,macho,Topo ECD TU,,,m,,10,1992,,FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25183,melpomene,melpomene plesseni Heliconius,,,,macho,Topo ECD TU,1250,1250,m,11,2,1992,"Vel�stegui, C.",FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25184,melpomene,melpomene plesseni Heliconius,,,,macho,Topo ECD TU,1400,1400,m,22,9,1995,"Neild, A.",FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25185,melpomene,melpomene plesseni Heliconius,,,,macho,Tigre Rio ECD TU,,,m,12,6,1973,,FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25186,melpomene,melpomene plesseni Heliconius,,,,macho,Tigre Rio ECD TU,,,m,,,,,FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25187,melpomene,melpomene plesseni Heliconius,,,,hembra,Tigre Rio ECD TU,,,m,,,,,FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25188,melpomene,melpomene plesseni Heliconius,,,,hembra,Tigre Rio ECD TU,1250,1250,m,12,2,1992,,FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25189,melpomene,melpomene plesseni Heliconius,,,,macho,Tigre Rio ECD TU,,,m,,5,1993,,FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25190,melpomene,melpomene plesseni Heliconius,,,,macho,Topo ECD TU,1250,1250,m,4,2,1992,"Vel�stegui, C.",FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25191,melpomene,melpomene plesseni Heliconius,,,,macho,Topo ECD TU,,,m,,5,1993,,FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25192,melpomene,melpomene plesseni Heliconius,,,,macho,Tigre Rio ECD TU,,,m,,3,1989,,FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25193,melpomene,melpomene plesseni Heliconius,,,,macho,Topo ECD TU,,,m,,8,1992,,FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25194,melpomene,melpomene plesseni Heliconius,,,,macho,Topo ECD TU,1250,1250,m,12,2,1992,"Vel�stegui, C.",FLMNH,,Neil Rosser,,-1.416666667,-78.16666667,Brown
25195,melpomene,melpomene plesseni Heliconius,,,,macho,Mera ECD PA,,,m,,5,1995,,FLMNH,,Neil Rosser,,-1.466666667,-78.1,Brown
25196,melpomene,melpomene plesseni Heliconius,,,,macho,Fatima ECD PA,820,820,m,,2,1992,,FLMNH,,Neil Rosser,,-1.433333333,-77.98333333,Geonames
25197,melpomene,melpomene plesseni Heliconius,,,,hembra,La Merced ECD TU,2000,2000,m,4,2,1992,,FLMNH,,Neil Rosser,,-1.413333333,-78.31666667,Map
25198,melpomene,melpomene plesseni Heliconius,,,,hembra,Santa Inez ECD TU,1200,1200,m,,,1990,,FLMNH,,Neil Rosser,,-1.416666667,-78.2,Brown
25199,melpomene,melpomene plesseni Heliconius,,,,macho,Chinchin Rio ECD TU,2000,2000,m,19,12,1991,,FLMNH,,Neil Rosser,,-1.392461111,-78.33319722,Google Earth
25200,melpomene,melpomene plesseni Heliconius,,,,macho,Bobonaza Rio ECD PA,900,900,m,22,9,1995,"Neild, A.",FLMNH,,Neil Rosser,,-1.45525,-77.83318333,Google Earth
25201,melpomene,melpomene plesseni Heliconius,,,,hembra,Puyo - Tena rd km 25 ECD PA,1100,1100,m,,,1992,,FLMNH,05-Jun,Neil Rosser,,-1.328333333,-77.93333333,Map
