unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
816,melpomene,melpomene rosina Heliconius,,,,desconocido,Bluefields NIC ZS,,,m,,,,,KB 1979,,NEIL ROSSER,,12.01666667,-83.76666667,Brown
1298,melpomene,melpomene rosina Heliconius,,,,desconocido,Santa Fe PAN VE,,,m,,,,,KB 1979,,NEIL ROSSER,,8.516666667,-81.08333333,Brown
1630,melpomene,melpomene rosina Heliconius,,,,descononcido,Rincon - Osa - Camino al Mar,,,m,,,,,KB 1979,,NEIL ROSSER,,8.707263889,-83.48579167,Google Earth
5422,melpomene,melpomene rosina Heliconius,,,,macho,Chontales NIC CH,,,m,,,,"Belt, T.",BMNH,,NEIL ROSSER,,10.75,-84.25,Brown 1979
5424,melpomene,melpomene rosina Heliconius,,,,macho,Juan Vinas CRI CA,2500,2500,ft,23,1,1913,"Hall, A.",BMNH,,NEIL ROSSER,,9.9,-83.73333333,Brown
5425,melpomene,melpomene rosina Heliconius,,,,macho,Carrillo CRI SJ,,,m,,,,,BMNH,,NEIL ROSSER,,10.15,-83.91666667,Brown
5426,melpomene,melpomene rosina Heliconius,,,,macho,San Carlos CRI AL,,,m,,,,,BMNH,,NEIL ROSSER,,10.33333,-84.43333,Geonames
5427,melpomene,melpomene rosina Heliconius,,,,macho,Santa Clara Valley CRI LI,1200,1200,ft,,,,Zurcher,BMNH,,NEIL ROSSER,,10.25,-83.75,Brown 1979
5428,melpomene,melpomene rosina Heliconius,,,,macho,Colombiana CRI LI,300,300,ft,13,11,1924,"Martin, G.A.",BMNH,,NEIL ROSSER,,10.16666667,-83.57666667,Falling Rain
5429,melpomene,melpomene rosina Heliconius,,,,macho,Las Pavas CRI AL,3250,3250,ft,,12,1926,"Hall, A.",BMNH,,NEIL ROSSER,,10.96666667,-85.08333333,Brown
5430,melpomene,melpomene rosina Heliconius,,,,macho,Sixaola Rio CRI LI,,,m,,4,,,BMNH,,NEIL ROSSER,,9.556530556,-82.73621389,Google Earth
5431,melpomene,melpomene rosina Heliconius,,,,macho,Turrialba CRI CA,2000,2000,ft,,,1926,"Hall, A.",BMNH,11-Dec,NEIL ROSSER,,9.883333333,-83.63333333,Brown
5432,melpomene,melpomene rosina Heliconius,,,,macho,Peralta CRI CA,,,m,12,3,1927,,BMNH,,NEIL ROSSER,,9.966666667,-83.61666667,Brown
5433,melpomene,melpomene rosina Heliconius,,,,macho,Puerto Limon CRI LI,,,m,,,,"Fountaine, M.",BMNH,,NEIL ROSSER,,9.983333333,-83.06666667,Brown
5434,melpomene,melpomene rosina Heliconius,,,,macho,Pejivalle CRI CA,2400,2400,ft,24,3,1926,"Jackson, F.W.",BMNH,,NEIL ROSSER,,9.816666667,-83.7,Falling Rain
5435,melpomene,melpomene rosina Heliconius,,,,macho,San Jose CRI SJ,,,m,,6,1911,"Fountaine, M.",BMNH,,NEIL ROSSER,,9.933333333,-84.08333333,Brown
5437,melpomene,melpomene rosina Heliconius,,,,macho,Bugaba PAN CQ,800,800,ft,,,,"Watson, A.",BMNH,,NEIL ROSSER,,8.483333333,-82.61666667,Brown
5438,melpomene,melpomene rosina Heliconius,,,,macho,Veraguas PAN VE,,,m,,,,Arce,BMNH,,NEIL ROSSER,,8.866666667,-80.9,www.calle.com
5439,melpomene,melpomene rosina Heliconius,,,,macho,Lino PAN CQ,800,800,m,,,,"Fassl, A.H.",BMNH,,NEIL ROSSER,,8.8,-82.43333333,Brown
