unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
1485,melpomene,melpomene thelxiopeia Heliconius,,,,descononcido,Maroni river 60 mi up FRG LM,,,m,,,,,KB 1979,,NEIL ROSSER,,4.807911111,-54.46801389,Google Earth
5649,melpomene,melpomene thelxiopeia Heliconius,,,f. negroidens,macho,Paramaribo SUR PM,,,m,,,,,BMNH,,NEIL ROSSER,,5.833333333,-55.16666667,Brown
5650,melpomene,melpomene thelxiopeia Heliconius,,,f. negroidens,hembra,Mapa Grande GUY,,,m,,,,,BMNH,,NEIL ROSSER,,,,unknown
5651,melpomene,melpomene thelxiopeia Heliconius,,,f. aglaopeia,macho,Berg - en - Dal SUR BR,,,m,,7,,Michael,BMNH,,NEIL ROSSER,,5.15,-55.06666667,Brown
5652,melpomene,melpomene thelxiopeia Heliconius,HT,"stygianus Heliconius melpomene (Heliconius, J.J. Joicey & W.J. Kaye 1917)",,macho,St Jean du Maroni FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.4,-54.08333333,Brown
5653,melpomene,melpomene thelxiopeia Heliconius,,,f. stygianus,macho,Bas Maroni FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.25,-54.25,Brown 1979
5654,melpomene,melpomene thelxiopeia Heliconius,,,f. stygianus,macho,St Laurent du Maroni FRG LM,,,m,,,1915,,BMNH,07-Sep,NEIL ROSSER,,5.5,-54.03333333,Brown
5655,melpomene,melpomene thelxiopeia Heliconius,,,f. stygianus,macho,Nouveau Chantier FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.55,-53.93333333,Brown
5656,melpomene,melpomene thelxiopeia Heliconius,,,f. stygianus,macho,Godebert - Maroni FRG,,,m,,,,,BMNH,,NEIL ROSSER,,5.516666667,-53.96666667,Geonames
5657,melpomene,melpomene thelxiopeia Heliconius,,,f. aglaopeia,macho,Maroni Lower FRG,,,m,,,1920,,BMNH,08-Sep,NEIL ROSSER,,5.25,-54.25,Brown 1979
5658,melpomene,melpomene thelxiopeia Heliconius,ST,"aglaopeia Heliconius melpomene (Heliconius, O. Staudinger 1897)",,macho,Cayenne FRG CY,,,m,,,,,BMNH,,NEIL ROSSER,,4.933333333,-52.33333333,Brown
5665,melpomene,melpomene thelxiopeia Heliconius,,,"f. noctis (""athelia f. withiut red on FW - KB). See map notes",macho,Cayenne FRG CY,,,m,,,,Bar,BMNH,,NEIL ROSSER,,4.933333333,-52.33333333,Brown
5666,melpomene,melpomene thelxiopeia Heliconius,,,"f. noctis (""athelia f. withiut red on FW - KB). See map notes",macho,Nouveau Chantier FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.55,-53.93333333,Brown
5667,melpomene,melpomene thelxiopeia Heliconius,,,"f. noctis (""athelia f. withiut red on FW - KB). See map notes",macho,Bas Maroni FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.25,-54.25,Brown 1979
5668,melpomene,melpomene thelxiopeia Heliconius,,,"f. noctis (""athelia f. withiut red on FW - KB). See map notes",macho,St Jean du Maroni FRG LM,,,m,,,,,BMNH,,NEIL ROSSER,,5.4,-54.08333333,Brown
