unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
810,melpomene,melpomene vicina Heliconius,,,,desconocido,Benjamin Constant BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-4.383333333,-70.03333333,Brown
1238,melpomene,melpomene vicina Heliconius,,,,desconocido,Rio Morona PER LOR,,,m,,,,,KB 1979,,NEIL ROSSER,,-4.733091667,-77.06576944,Google Earth
1269,melpomene,melpomene vicina Heliconius,,,,desconocido,San Jose del Guaviare COL GV,,,m,,,,,KB 1979,,NEIL ROSSER,,2.567222222,-72.63777778,www.calle.com
1335,melpomene,melpomene vicina Heliconius,,,,desconocido,Sao Paulo de Olivenca BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-3.466666667,-68.95,Brown
1378,melpomene,melpomene vicina Heliconius,,,,desconocido,Tonantins BRA AM,,,m,,,,,KB 1979,,NEIL ROSSER,,-2.866666667,-67.8,Brown
3111,melpomene,melpomene vicina Heliconius,,,,macho,Sao Paulo de Olivenca BRA AM,,,m,,,,,BMNH,,NEIL ROSSER,,-3.466666667,-68.95,Brown
3112,melpomene,melpomene vicina Heliconius,,,,macho,Teffe BRA AM,,,m,,,1879,"Mathan, M. de",BMNH,7bre 8bre,NEIL ROSSER,,-3.366666667,-64.73333333,Brown
3315,melpomene,melpomene vicina Heliconius,,,,hembra,Tonantins BRA AM,,,m,,,,Bates,BMNH,,NEIL ROSSER,,-2.866666667,-67.8,Brown
10520,melpomene,melpomene vicina Heliconius,,,,macho,Yacopi COL,,,m,,4,1913,,MGCL/FLMNH,,NEIL ROSSER,,,,
16830,melpomene,melpomene vicina Heliconius,,,,unknown,Tefe BRA AM,,,m,,,1879,"Mathan, M. de",NHM Accessions - draw 7986,1879,NEIL ROSSER,,-3.366666667,-64.73333333,Brown
24782,melpomene,melpomene vicina Heliconius,,,,hembra,Tonantins BRA AM,,,m,29,9,1992,,FLMNH,,Neil Rosser,,-2.866666667,-67.8,Brown
