unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
845,melpomene,melpomene vulcanus Heliconius,,,,desconocido,Buenaventura COL VC,,,m,,,,,KB 1979,,NEIL ROSSER,,3.893333333,-77.06972222,Geonames
971,melpomene,melpomene vulcanus Heliconius,,,,desconocido,El Palmar COL NA,,,m,,,,,KB 1979,,NEIL ROSSER,,1.933333333,-77.38333333,Brown
1020,melpomene,melpomene vulcanus Heliconius,,,,desconocido,Guisito [Rio] COL CC,,,m,,,,,KB 1979,,NEIL ROSSER,,2.616666667,-77.18333333,NIMA
5449,melpomene,melpomene vulcanus Heliconius,,,,hembra,San Pablo COL CH,,,m,,,,,BMNH,,NEIL ROSSER,,5.216666667,-76.65,Brown
5450,melpomene,melpomene vulcanus Heliconius,,,,hembra,Dagua Rio COL VC,,,m,,,,"Rosenberg, W.F.H.",BMNH,,NEIL ROSSER,,3.55,-76.65,Brown
5451,melpomene,melpomene vulcanus Heliconius,,,,macho,Condoto Rio COL CH,,,m,18,10,1915,Spurrell,BMNH,,NEIL ROSSER,,5.1,-76.7,approximate - map
5452,melpomene,melpomene vulcanus Heliconius,,,,macho,El Tigre COL CH,320,320,ft,,2,1909,"Palmer, G.M.",BMNH,,NEIL ROSSER,,4.95,-76.51666667,Brown
5453,melpomene,melpomene vulcanus Heliconius,,,,macho,Juntas Rio Tamana COL CH,400,400,ft,,2,1909,"Palmer, G.M.",BMNH,,NEIL ROSSER,,4.983333333,-76.4,Brown
5454,melpomene,melpomene vulcanus Heliconius,,,,macho,Sarza quebrada de la COL CH,800,800,ft,,3,1909,"Palmer, G.M.",BMNH,,NEIL ROSSER,,4.75,-76.75,Brown 1979
5455,melpomene,melpomene vulcanus Heliconius,,,,macho,Pavarandocito COL AN,,,m,,7,1927,Verteuil,BMNH,,NEIL ROSSER,,7.297222222,-76.52694444,Falling Rain
