unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
1,melpomene,melpomene xenoclea Heliconius,,,,female,"Camino a Catorata del Tirol, San Ramon PER JU",795,795,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-11.10861111,-75.34361111,Mallet lab database
6,melpomene,melpomene xenoclea Heliconius,,,,male,"Monte Olivo, R�o Pampa Hermosa, nr Satipo PER JU",840,840,m,,,,,Mallet,date may be available on this specimen - see Mallet database.,NEIL ROSSER,,-11.23944444,-74.74277778,Mallet lab database
1162,melpomene,melpomene xenoclea Heliconius,,,,desconocido,Obenteni PER UC,,,m,,,,,KB 1979,,NEIL ROSSER,,-10.75,-74.21666667,"Gerardo Lamas, unpub. gazetteer"
5472,melpomene,melpomene xenoclea Heliconius,,,trans. from euryades to xenoclea see draw 116 (KB?),macho,Perene Rio PER JU,,,m,,,1920,,BMNH,08-Sep,NEIL ROSSER,,-11.15,-74.3,"Gerardo Lamas, unpub. gazetteer"
5473,melpomene,melpomene xenoclea Heliconius,,,trans. from euryades to xenoclea see draw 116 (KB?),macho,La Merced  PER JU,2500,2500,ft,,,1903,Watkins & Tomlinson,BMNH,05-Jun,NEIL ROSSER,,-11.05,-75.31666667,"Gerardo Lamas, unpub. gazetteer"
5474,melpomene,melpomene xenoclea Heliconius,,,trans. from euryades to xenoclea see draw 116 (KB?),macho,Montana PER JU,,,m,,,,Grant Duff,BMNH,about 1905,NEIL ROSSER,,-10.88333333,-75.21666667,Geonames
5475,melpomene,melpomene xenoclea Heliconius,ST,"confluens Heliconius cydno (Heliconius, H. Neustetter 1928)",trans. from euryades to xenoclea see draw 116 (KB?),macho,Pichis Road PER PA,3000,3000,ft,,,1904,Watkins & Tomlinson,BMNH,,NEIL ROSSER,,-10.25,-74.75,Brown 1979
5476,melpomene,melpomene xenoclea Heliconius,,,trans. from euryades to xenoclea see draw 116 (KB?),hembra,Chanchamayo PER JU,,,m,,,,,BMNH,,NEIL ROSSER,,-11.06666667,-75.31666667,Brown
5477,melpomene,melpomene xenoclea Heliconius,ST,"confluens Heliconius cydno (Heliconius, H. Neustetter 1928)",trans. from euryades to xenoclea see draw 116 (KB?),hembra,Colorado Rio PER JU,2500,2500,ft,,,1904,Watkins & Tomlinson,BMNH,,NEIL ROSSER,,-10.96083333,-75.315,Geonames
5478,melpomene,melpomene xenoclea Heliconius,,,,macho,Colorado Rio PER JU,2500,2500,ft,,,,,BMNH,,NEIL ROSSER,,-10.96083333,-75.315,Geonames
5479,melpomene,melpomene xenoclea Heliconius,,,,macho,El Porvenir PER PA,,,m,,,,,BMNH,,NEIL ROSSER,,-10.73333333,-75.18333333,"Gerardo Lamas, unpub. gazetteer"
5480,melpomene,melpomene xenoclea Heliconius,,,,macho,Pozuzo  PER PA,,,m,,,,,BMNH,,NEIL ROSSER,,-10.11666667,-75.53333333,"Gerardo Lamas, unpub. gazetteer"
5481,melpomene,melpomene xenoclea Heliconius,,,,macho,San Luis de Shuaro PER JU,2250,2250,ft,,11,1919,,BMNH,,NEIL ROSSER,,-10.88333333,-75.28333333,"Gerardo Lamas, unpub. gazetteer"
5483,melpomene,melpomene xenoclea Heliconius,,,,macho,Perene Rio PER JU,,,m,,,1920,,BMNH,08-Sep,NEIL ROSSER,,-11.15,-74.3,"Gerardo Lamas, unpub. gazetteer"
5484,melpomene,melpomene xenoclea Heliconius,,,,macho,San Remon PER,3000,3000,ft,,8,1903,Watkins & Tomlinson,BMNH,,NEIL ROSSER,,-11.13333333,-75.35,Lamas unpublished
5485,melpomene,melpomene xenoclea Heliconius,,,,macho,Utcuyacu PER JU,5000,5000,ft,,7,1919,"Watkins, C.",BMNH,,NEIL ROSSER,,-11.18333333,-75.46666667,"Gerardo Lamas, unpub. gazetteer"
5486,melpomene,melpomene xenoclea Heliconius,,,,macho,La Merced  PER JU,2500,3500,ft,,,1919,"Watkins, C.",BMNH,10-Nov,NEIL ROSSER,,-11.05,-75.31666667,"Gerardo Lamas, unpub. gazetteer"
5487,melpomene,melpomene xenoclea Heliconius,,,,hembra,Chanchamayo PER JU,,,m,,,,,BMNH,,NEIL ROSSER,,-11.06666667,-75.31666667,Brown
5490,melpomene,melpomene xenoclea Heliconius,,,f. hyperblea Dyar?? Not in Lamas!,macho,Huancabamba PER PA,,,m,,,,,BMNH,,NEIL ROSSER,,-10.38333333,-75.55,"Gerardo Lamas, unpub. gazetteer"
