Image-ID	Sex
10428198	m
10428199	m
10428216	m
10428219	m
10428220	m
10428229	m
10428230	m
10428231	m
10428232	m
10428233	m
10428234	m
10428235	m
10428238	f
10428240	f
10428266	m
10428267	m
10428329	m
10428331	f
10428332	f
10428333	m
10428334	m
10428335	f
10428336	f
10428337	m
10428338	m
10428339	m
10428340	f
10428341	f
10428342	f
10428343	m
10428369	f
10428371	f
10428488	m
10428490	m
10428928	m
10428929	m
10428930	m
10428931	m
10428932	m
10428934	m
10428935	m
10428936	m
10428937	m
10428941	f
10428999	m
10429064	m
10429077	m
10429078	m
10_MARA_calibrated	m
10429062	m
112_BOQ2_calibrated	m
114_BOQ2_calibrated	m
13715_H_m_meriana	m
15N005	f
15N006	m
15N009	m
15N020	m
15N022	f
15N023	m
35_SAG_calibrated	m
49_SAG_calibrated	f
52_SAG_calibrated	m
6_MARA_calibrated	m
85_IG_calibrated	m
BC0004	m
BC0049	m
BC0050	m
BC0061	f
BC0071	m
BC0076	f
BC0077	m
BC0079	m
BC0082	m
BC0125	m
BC0147	f
BC0148	m
BC0149	m
BC0154	m
BC0163	m
BC0198	m
BC0200	m
BC0327	m
BC0340	m
BC0351	m
BC2108	m
BC2146	m
BC2168	f
BC2181	m
BC2184	f
BC2187	m
BC2193	f
BC2223	f
BC2227	m
BC2351	f
BC2563	f
BC2578	m
BC2579	m
BC2580	m
BC2611	f
BC2612	m
BC2620	m
BC2624	m
BC2634	m
BC2635	f
BC2636	m
BC2637	m
BC2638	m
BC2639	m
BC2640	m
BC2643	f
BC2646	m
BC3000	f
BC3001	m
BC3002	m
BC3003	f
BC3006	f
BC3007	m
BC3009	f
BC3010	f
CAM000058	m
CAM000059	m
CAM000060	m
CAM000061	m
CAM000062	m
CAM000063	m
CAM000064	m
CAM000129	m
CAM000132	m
CAM000134	m
CAM000413	m
CAM000903	f
CAM000947	m
CAM001015	m
CAM001027	m
CAM001067	m
CAM001137	f
CAM001391	f
CAM001422	m
CAM002901	m
CAM008052	m
CAM008171	f
CAM008215	m
CAM008218	m
CAM008510	m
CAM008689	m
CAM008702	f
CAM008863	m
CAM008887	m
CAM008888	m
CAM008954	m
CAM008955	m
CAM008956	m
CAM008957	m
CAM008979	m
CAM009112	m
CAM009113	m
CAM009114	m
CAM009115	m
CAM009119	m
CAM009120	m
CAM009141	m
CAM009316	m
CAM009317	m
CAM009554	m
CAM016057	m
CAM016058	m
CAM016060	f
CAM016067	m
CAM016144	m
CAM016267	m
CAM016347	f
CAM016349	f
CAM016354	m
CAM016355	m
CAM016378	m
CAM016583	m
CAM016586	m
CAM016609	f
CAM016610	m
CAM016611	m
CAM016797	f
CAM016810	f
CAM016894	m
CAM016900	m
CAM016915	m
CAM016973	f
CAM016999	m
CAM017013	f
CAM017027	m
CAM017049	m
CAM017064	m
CAM017070	m
CAM017124	m
CAM017170	m
CAM017174	m
CAM017177	m
CAM017185	m
CAM017186	f
CAM017187	f
CAM017395	f
CAM017405	f
CAM017614	m
CAM040321	m
CAM040354	m
CAM040355	m
CAM040356	m
CAM040357	m
CAM040361	f
CAM040362	m
CAM040363	m
CAM040364	m
CAM040365	m
CAM040383	f
CAM040459	m
CAM040474	f
CS000046	m
CS000047	f
CS000265	f
CS000275	m
CS000278	m
CS000284	m
CS000286	m
CS000288	m
CS003656	m
CS003659	m
IMG_1855	m
IMG_1861	m
IMG_1859	m
IMG_1863	f
IMG_1869	m
IMG_1871	f
IMG_1877	m
IMG_1885	f
IMG_1899	m
IMG_1960	f
IMG_1972	f
IMG_1974	f
IMG_1978	m
IMG_1980	m
IMG_1982	m
IMG_1987	f
IMG_1993	f
IMG_2049	m
IMG_2125	m
IMG_2135	m
IMG_2141	m
LMCI_105-62	m
LMCI_105-63	m
LMCI_105-64	f
LMCI_183-10	m
LMCI_183-11	m
LMCI_183-14	m
LMCI_183-15	m
LMCI_183-16	m
LMCI_183-18	f
LMCI_183-19	m
melp_14-103	m
melp_14-108	m
melp_14-110	m
melp_14-111	m
melp_14-122	m
melp_14-133	f
melp_14-138	f
MJ12.3137	m
MJ12.3371	m
MJ12.3392	m
MJ12.3393	m
MJ12.3396	m
MJ12.3414	m
MJ12.3416	m
MJ12.3417	m
MJ12.3442	m
MJ12.3605	m
MJ12.3606	m
MJ12.3608	m
MJ12.3636	m
MJ12.3638	m
MJ12.3647	m
MJ12.3648	m
MJ12.3651	m
MJ12.3653	m
